,Sent_Count,Word_Count,Char_Count,Avg_Word_Count,Syllable_Count,Difficult_Word_Count,Verb_Count,Noun_Count,Adj_Count,Conj_Count,Adverb_Count,pNoun_Count,Spelling_Mistakes_Count,Count_Fullstops,Count_Exclamation,Count_Comma,Count_Questionmark,Count_Hyphens,Capitalization_Errors,Semantic_Similarity,Connectivity_Index,Flesch_Reading_Ease_Score,Flesh_Kincaid_Grade,Avg_Sentence_Length,Dale_Challl_Readability_Score,Unique_Words_LD,Lexical_Diversity,Lexical_Density,Lexical_Originality,Total Score
11,37,981,4765,4.032619776,983,125,124,141,59,6,56,112,8,29,7,32,0,0,5,0.24320871,94.01243946,95.15130672,6.547343213,26.51351351,6.963547844,323,0.329255861,498,0.000637433,44
12,17,845,3808,3.543195266,941,50,133,111,47,26,67,223,18,16,0,7,0,0,7,0.243308485,79.23620524,62.17216847,16.59382134,49.70588235,7.036231291,220,0.26035503,607,0.000434165,31
13,31,628,2964,3.835987261,704,40,99,90,34,18,38,105,8,28,0,17,3,0,0,0.238439597,27.04348722,91.43484796,3.792910557,20.25806452,5.647032484,175,0.27866242,384,0.000345358,36
14,54,1008,4490,3.69047619,902,87,118,99,54,31,63,126,1,42,8,51,6,0,2,0.240356283,34.79888361,112.1847619,4.111140675,18.66666667,5.925194048,302,0.299603175,491,0.00059599,43
15,4,135,729,4.407407407,170,14,30,22,11,5,6,28,0,4,0,0,0,0,1,0.241379677,25.27939902,66.04541667,10.35558824,33.75,6.947981481,69,0.511111111,102,0.00013617,20
16,41,835,3823,3.722155689,886,91,101,101,62,28,46,123,3,35,0,29,6,0,1,0.236862114,37.31317174,96.39647291,3.958572372,20.36585366,6.367472689,268,0.320958084,461,0.000528892,45
17,38,593,2695,3.661045531,640,42,87,67,33,18,56,106,3,30,6,9,2,0,0,0.233734121,31.44301359,99.69043024,1.911858553,15.60526316,5.528868439,204,0.344013491,367,0.000402589,40
18,52,831,3634,3.487364621,863,43,120,118,37,47,62,145,4,52,0,24,0,0,0,0.235632766,41.50393322,102.7567575,2.244956547,15.98076923,5.246197899,234,0.281588448,529,0.000461793,30
19,30,329,1513,3.747720365,349,35,47,51,24,13,13,47,0,29,0,12,1,0,0,0.235714551,14.63068503,105.9609762,0.070782235,10.96666667,5.860233901,130,0.395136778,195,0.000256552,35
20,28,715,3223,3.620979021,744,59,91,106,27,31,46,91,3,27,0,33,1,0,0,0.236941074,66.42671806,92.88492133,6.112910906,25.53571429,6.206022478,244,0.341258741,392,0.000481528,40
21,61,1024,4611,3.69921875,971,81,135,136,33,30,65,122,4,36,24,16,0,0,4,0.231087598,31.8782603,109.5750224,3.062111057,16.78688525,5.71814318,291,0.284179688,521,0.000574282,42
22,7,595,2720,3.779831933,579,60,74,58,35,4,40,78,15,7,0,15,0,0,6,0.230922853,120.4741179,38.23495798,28.79465088,85,9.444768908,201,0.337815126,289,0.000396669,34
23,32,948,4117,3.48628692,997,65,135,91,52,42,64,175,28,25,1,18,7,0,2,0.22986817,113.5474565,87.79284019,7.780997681,29.625,6.188547679,249,0.262658228,559,0.000491396,33
24,22,395,1857,3.810126582,461,54,60,47,24,8,25,65,1,22,0,8,0,0,0,0.230840008,30.65241847,89.87544016,2.692901795,17.95454545,6.685678366,169,0.427848101,229,0.000333518,38
25,40,757,3467,3.668428005,822,58,111,92,37,39,41,142,15,38,1,10,1,0,1,0.229083124,37.18608247,95.76192421,3.291409976,18.925,5.784981849,219,0.289299868,462,0.000432191,36
26,37,687,3077,3.57496361,751,68,101,79,38,22,35,141,5,37,0,21,0,0,1,0.230745646,57.40719579,95.50769621,3.120353403,18.56756757,6.12036256,237,0.344978166,416,0.000467714,45
27,36,894,4170,3.738255034,1042,79,156,107,55,28,41,173,6,36,0,16,0,0,0,0.231222645,56.64008435,83.02379754,5.822325656,24.83333333,6.263546532,251,0.280760626,560,0.000495343,31
28,17,283,1245,3.621908127,271,22,33,42,19,9,15,35,3,13,3,20,1,0,0,0.231884501,17.96607407,108.9255144,2.949568049,16.64705882,5.689685284,100,0.35335689,153,0.000197348,30
29,18,806,3721,3.698511166,915,90,110,114,56,46,50,132,2,18,0,39,0,0,0,0.232798037,68.71860293,65.34461263,14.62931694,44.77777778,7.620629143,261,0.32382134,508,0.000515077,34
30,27,817,3870,3.854345165,780,27,115,95,46,33,45,101,6,27,0,5,0,0,1,0.231689246,57.46834911,95.353186,8.036410256,30.25925926,2.022683005,177,0.216646267,435,0.000349305,33
31,62,1007,4407,3.545183714,1034,57,171,87,39,28,56,188,20,60,0,20,2,0,0,0.227016574,60.31137167,103.4811137,2.406069757,16.24193548,5.335873585,201,0.199602781,569,0.000396669,40
32,64,914,3867,3.447483589,894,86,114,110,48,33,61,166,6,55,1,51,7,0,0,0.227541253,39.23030239,109.5907348,1.921794603,14.28125,5.83056116,274,0.299781182,532,0.000540733,47
33,54,1023,4535,3.622678397,981,96,131,139,47,10,55,149,6,52,1,61,1,0,2,0.227033508,38.14130804,106.4797027,3.800198777,18.94444444,6.057903975,265,0.259042033,531,0.000522971,30
34,61,973,4445,3.708119219,1073,100,142,127,49,36,60,162,6,59,1,25,1,0,1,0.225664577,58.31950399,97.35015955,1.970443524,15.95081967,6.050476689,293,0.301130524,576,0.000578229,40
35,22,517,2348,3.661508704,571,40,72,66,25,16,33,90,7,18,1,27,3,0,2,0.226361597,31.16470137,89.54613636,5.216335775,23.5,6.023763443,173,0.334622824,302,0.000341411,32
36,53,967,4348,3.586349535,976,81,131,134,50,34,54,152,4,51,0,5,2,0,2,0.224997101,64.00244916,102.9286541,3.283075317,18.24528302,5.864103059,269,0.278179938,555,0.000530865,40
37,6,329,1491,3.52887538,358,23,46,46,15,23,25,53,1,6,0,8,0,0,0,0.225499186,93.01622462,59.12202381,18.52413408,54.83333333,7.460093516,123,0.373860182,208,0.000242738,30
38,47,1048,4742,3.732824427,1010,107,135,139,43,35,41,136,7,44,0,54,4,0,2,0.222357432,31.20955224,102.6702168,5.03481146,22.29787234,6.354621415,299,0.285305344,529,0.000590069,40
39,56,1023,4705,3.798631476,1024,103,119,126,65,44,70,115,8,54,2,48,1,0,4,0.22640636,39.04985822,103.6104271,3.329905134,18.26785714,6.132390211,321,0.313782991,539,0.000633486,45
40,60,818,3531,3.534229829,759,66,121,98,32,22,45,98,13,57,3,26,0,0,5,0.228257363,31.95883727,114.4991227,2.060759552,13.63333333,5.586723113,235,0.287286064,416,0.000463767,45
41,52,1035,4636,3.646376812,1025,108,127,139,35,4,67,126,12,50,0,47,2,0,0,0.229260351,35.36383552,102.8499875,4.012621951,19.90384615,6.271382943,307,0.296618357,498,0.000605857,45
42,80,1075,4732,3.658604651,999,104,139,118,60,11,69,128,2,55,20,39,6,0,5,0.222551354,19.58831431,114.5769608,1.977822698,13.4375,5.830590698,326,0.303255814,525,0.000643353,50
43,24,509,2336,3.717092338,590,56,70,61,29,14,48,63,0,22,0,29,1,0,0,0.223553371,31.44482184,87.2456733,4.1775,21.20833333,6.425643549,161,0.316306483,285,0.00031773,39
44,27,430,1940,3.690697674,443,52,67,51,18,8,32,70,3,27,0,12,0,0,2,0.22323139,39.18491934,103.5125108,2.262613494,15.92592593,6.335914298,163,0.379069767,246,0.000321677,33
45,30,709,2969,3.399153738,522,28,85,84,14,16,20,102,1,21,9,12,1,0,2,0.223806323,40.09238551,120.5605658,7.223203065,23.63333333,1.795795844,138,0.194640339,321,0.00027234,33
46,43,556,2437,3.476618705,555,45,74,67,17,18,40,94,3,41,1,6,1,0,1,0.223882481,31.87675818,109.2629722,1.264982191,12.93023256,5.555807161,178,0.320143885,310,0.000351279,34
47,28,601,2608,3.419301165,604,30,87,67,20,27,40,85,1,28,0,3,0,0,3,0.223968037,23.81917537,100.0264538,4.564247871,21.46428571,1.852814928,151,0.25124792,326,0.000297995,40
48,13,365,1671,3.715068493,366,31,44,48,8,15,29,56,6,12,1,10,0,0,1,0.224058372,26.30006814,93.50514226,7.157759563,28.07692308,6.370183878,130,0.356164384,200,0.000256552,33
49,30,756,3374,3.600529101,795,63,113,83,47,24,34,131,12,30,0,23,0,0,1,0.224252638,42.99251144,92.29271429,5.966132075,25.2,6.202253333,221,0.292328042,432,0.000436138,33
50,43,634,2689,3.479495268,548,49,84,61,37,4,33,89,1,36,4,30,3,0,7,0.222901258,16.6897848,118.7453609,3.032057376,14.74418605,5.588174404,183,0.288643533,308,0.000361146,40
51,30,691,3149,3.688856729,706,60,90,108,32,25,42,87,0,27,4,18,0,0,3,0.223943807,61.38367249,97.01969778,5.137291785,23.03333333,6.150009773,238,0.344428365,384,0.000469687,36
52,32,728,3271,3.596153846,812,63,106,115,50,28,46,114,9,32,0,19,0,0,0,0.224959455,39.5046344,89.38221154,4.885560345,22.75,6.131342308,244,0.335164835,459,0.000481528,37
53,40,878,3887,3.576309795,922,76,111,123,44,30,34,152,7,40,1,25,0,0,2,0.225671051,37.03204613,95.71611446,4.636376356,21.95,6.092008155,267,0.304100228,494,0.000526918,40
54,43,680,3123,3.694117647,702,84,92,101,37,18,29,84,1,43,0,37,0,0,2,0.226561185,34.69330388,103.4467784,2.207176174,15.81395349,6.371401505,251,0.369117647,361,0.000495343,33
55,39,675,3110,3.677037037,779,49,103,99,55,24,38,98,2,38,0,8,1,0,0,0.227880803,50.03170423,91.63302564,2.424646983,17.30769231,5.641198575,183,0.271111111,417,0.000361146,37
56,31,581,2590,3.619621343,572,55,72,94,34,20,28,76,2,29,2,28,0,0,2,0.228972649,22.70348438,104.5224346,3.591793368,18.74193548,6.06085043,213,0.366609294,324,0.00042035,42
57,29,428,1987,3.719626168,485,42,57,58,31,11,29,71,1,27,1,9,1,0,0,0.229670039,18.19688114,95.98817757,1.345609669,14.75862069,5.918013568,150,0.35046729,257,0.000296021,40
58,34,659,3024,3.726858877,719,75,87,84,44,30,37,85,6,31,0,25,2,0,3,0.228859002,48.816733,94.8593321,3.472651968,19.38235294,6.394905677,221,0.335356601,367,0.000436138,40
59,22,368,1769,3.921195652,419,43,40,63,23,11,17,47,0,22,0,13,0,0,0,0.229510009,18.8107533,93.53236166,2.201450423,16.72727273,6.311199901,144,0.391304348,201,0.000284181,38
60,29,340,1486,3.535294118,353,35,50,50,10,12,12,70,4,29,0,14,0,0,0,0.229380111,8.637104823,107.1002941,0.522680473,11.72413793,5.843458418,132,0.388235294,204,0.000260499,31
61,56,892,4168,3.785874439,986,119,140,132,44,41,52,136,1,55,0,19,1,0,2,0.229870137,51.58890009,97.15225336,1.951836424,15.92857143,6.533070596,311,0.348654709,545,0.000613751,42
62,36,699,3306,3.815450644,809,67,105,91,46,20,57,138,8,32,2,6,2,0,0,0.231446757,30.24232584,89.21377861,3.369716728,19.41666667,6.113057368,232,0.331902718,457,0.000457847,40
63,37,687,3137,3.678311499,750,62,119,70,40,21,39,129,10,37,0,17,0,0,0,0.233196372,38.47074182,95.63084032,3.124205405,18.56756757,5.982458629,199,0.289665211,418,0.000392722,35
64,70,1069,4687,3.601496726,937,101,128,150,55,35,46,81,5,67,0,28,3,0,5,0.230851196,52.47684035,117.1808985,3.092755146,15.27142857,5.885815055,320,0.299345182,495,0.000631512,35
65,12,273,1271,3.813186813,319,32,29,40,14,15,24,32,3,12,0,12,0,0,0,0.230495193,30.32985068,84.88880495,4.875932602,22.75,6.615742491,127,0.465201465,154,0.000250632,33
66,45,751,3331,3.703062583,606,56,91,67,31,17,20,71,7,40,2,11,3,0,11,0.230204566,19.39517659,121.6299988,4.285432343,16.68888889,5.641685667,197,0.262316911,297,0.000388775,33
67,31,921,4137,3.593919653,1007,52,153,96,31,40,59,182,18,29,1,1,2,0,1,0.22956996,116.9334228,84.18000315,7.870963898,29.70967742,6.001609229,211,0.229098806,561,0.000416404,30
68,20,454,2123,3.72246696,496,50,76,62,29,12,28,67,1,18,0,14,2,0,1,0.230047936,35.41014652,91.36806828,4.882806452,22.7,6.501406784,183,0.4030837,274,0.000361146,37
69,21,471,2164,3.673036093,509,38,73,70,23,15,26,93,6,16,4,8,1,0,0,0.229926724,35.2475005,92.64452229,4.781914117,22.42857143,6.022884956,137,0.290870488,300,0.000270366,40
70,43,959,4427,3.735140772,1076,81,151,106,67,52,88,148,14,41,0,27,2,0,2,0.227786244,68.84053373,89.2767631,4.685984266,22.30232558,6.076365839,268,0.279457769,612,0.000528892,40
71,34,675,3070,3.711111111,702,63,97,89,41,31,38,110,6,31,1,21,1,0,2,0.2294027,38.22889772,98.70026471,3.808506787,19.85294118,6.094939216,213,0.315555556,406,0.00042035,35
72,32,581,2460,3.426850258,499,38,80,69,11,16,32,66,6,31,1,21,0,0,2,0.231874446,39.54814427,115.7465095,4.230640656,18.15625,5.569786661,153,0.263339071,274,0.000301942,35
73,43,695,3030,3.510791367,722,54,102,74,24,38,61,120,10,39,2,42,1,0,0,0.232811097,24.37245683,102.5431487,2.317097855,16.1627907,5.665023339,212,0.305035971,419,0.000418377,31
74,56,970,4231,3.509278351,995,73,127,135,54,13,72,141,5,54,1,21,1,0,1,0.233220348,76.86277096,102.4733376,2.842981874,17.32142857,5.683962445,273,0.281443299,542,0.000538759,40
75,70,1076,4562,3.446096654,978,89,125,108,48,25,65,143,15,66,0,53,4,0,5,0.233078626,50.68327747,114.3382045,2.841270231,15.37142857,5.704973043,290,0.269516729,514,0.000572308,40
76,24,509,2438,3.886051081,600,52,63,70,31,19,31,76,7,24,0,17,0,0,0,0.232919803,35.57404749,85.58359078,4.170333333,21.20833333,6.301557105,189,0.371316306,290,0.000372987,36
77,77,993,4530,3.72306143,1006,103,136,145,47,29,55,145,7,74,3,30,0,0,11,0.231062606,39.56075349,108.0379017,1.152839586,12.8961039,5.913981597,292,0.294058409,557,0.000576255,32
78,32,830,4121,3.984337349,1028,58,116,131,56,43,42,114,24,31,0,15,5,0,0,0.229436239,32.69785567,75.72675075,6.465987354,25.9375,6.02639759,181,0.218072289,502,0.000357199,31
79,19,309,1279,3.28802589,285,16,50,33,10,11,15,48,3,18,0,6,1,0,0,0.229250658,26.22501622,112.2987685,3.053684211,16.26315789,5.26075781,114,0.368932039,167,0.000224976,30
80,20,928,4397,3.823275862,1022,81,128,153,49,39,39,112,2,20,0,23,0,0,5,0.229801811,121.0957865,66.56960345,15.0536771,46.4,7.316161983,271,0.292025862,520,0.000534812,32
81,17,358,1617,3.581005587,413,35,64,50,22,18,14,69,3,17,0,5,0,0,3,0.230466484,24.55611896,87.86308741,4.113277311,21.05882353,6.224732731,120,0.335195531,237,0.000236817,30
82,65,1003,4772,3.945164506,1059,161,129,168,69,22,37,110,1,60,2,34,3,0,1,0.228999809,38.98112736,101.8493395,1.940015109,15.43076923,6.936452395,368,0.366899302,535,0.000726239,55
83,47,875,3925,3.641142857,956,77,130,101,56,34,66,135,12,46,1,35,0,0,0,0.2291225,40.15752297,95.50718055,3.142975162,18.61702128,5.949424255,268,0.306285714,522,0.000528892,45
84,42,945,4427,3.891005291,1024,139,121,153,49,36,36,116,8,36,4,51,2,0,1,0.229267448,58.15091889,92.32511905,4.808219866,22.5,7.075050265,331,0.35026455,511,0.000653221,41
85,47,646,3221,4.151702786,762,85,72,104,45,12,28,70,4,47,0,17,0,0,1,0.229389005,19.08329752,93.09281767,0.736653264,13.74468085,6.395867749,211,0.326625387,331,0.000416404,45
86,31,561,2543,3.616755793,620,27,63,43,32,22,50,114,0,31,0,8,0,0,1,0.229237626,35.69490769,94.96944799,2.887096774,18.09677419,1.657546524,145,0.258467023,324,0.000286154,33
87,83,832,3693,3.637019231,809,92,104,114,35,24,47,110,11,76,1,49,6,0,11,0.225443205,13.82140646,114.3992441,0.346801197,10.02409639,5.879704796,279,0.335336538,434,0.0005506,60
88,50,786,3236,3.36259542,661,59,100,96,36,1,36,96,7,44,2,34,5,0,4,0.223457081,23.13898636,119.7333985,3.597267474,15.72,5.601466453,235,0.298982188,365,0.000463767,45
89,12,282,1204,3.386524823,280,19,38,46,10,14,10,58,1,12,0,13,0,0,3,0.223788021,16.93026589,98.9825,5.394285714,23.5,5.865965248,108,0.382978723,176,0.000213135,28
90,49,739,3431,3.867388363,738,108,80,101,54,23,42,70,3,43,0,42,6,0,10,0.225323065,12.17548637,107.0416219,2.099866711,15.08163265,6.692153851,295,0.399188092,370,0.000582176,49
91,37,697,3129,3.599713056,726,46,102,92,28,34,41,111,6,37,0,9,0,0,0,0.226470931,30.48932884,99.59465198,3.39108257,18.83783784,5.612951448,197,0.282639885,408,0.000388775,33
92,9,309,1417,3.621359223,338,21,47,38,10,13,17,61,2,9,0,0,0,0,0,0.22675912,38.17156259,79.44686084,9.844240631,34.33333333,6.412540129,105,0.339805825,186,0.000207215,29
93,45,910,3999,3.551648352,941,62,123,126,44,39,37,147,11,36,8,29,0,0,0,0.22625866,67.96830929,98.82746642,3.976597945,20.22222222,5.71532442,203,0.223076923,516,0.000400616,36
94,57,797,3418,3.504391468,774,67,121,94,33,26,47,121,13,46,9,37,3,0,1,0.226289135,40.64414518,110.4842123,1.856435469,13.98245614,5.657420038,226,0.283563363,442,0.000446006,40
95,36,732,3341,3.692622951,782,70,88,104,34,44,47,108,9,34,0,31,2,0,0,0.22620866,38.54403329,95.81797814,3.927190963,20.33333333,6.155006011,242,0.330601093,425,0.000477581,40
96,30,612,2861,3.808823529,664,53,72,73,40,30,42,91,0,30,0,19,0,0,1,0.225649474,39.5784418,94.34076471,3.917903614,20.4,6.015774641,178,0.290849673,348,0.000351279,40
97,19,311,1393,3.581993569,332,25,50,53,11,5,14,60,6,19,0,10,0,0,0,0.22598979,12.3022085,99.90851244,2.2783513,16.36842105,5.717666289,99,0.318327974,193,0.000195374,27
98,1,178,784,3.426966292,188,10,27,26,4,13,17,31,5,1,0,0,0,0,1,0.225976992,96,-63.18780899,68.90234043,178,13.35237865,81,0.45505618,118,0.000159852,24
99,23,347,1665,3.884726225,410,38,46,47,14,15,30,47,1,21,2,1,0,0,1,0.226012509,12.17754096,91.56208495,1.349003181,15.08695652,6.113977309,148,0.426512968,199,0.000292075,32
100,38,738,3300,3.582655827,785,67,102,87,31,30,65,126,1,34,3,23,1,0,2,0.226513914,44.8393154,97.1348267,3.560082132,19.42105263,6.033293696,240,0.325203252,441,0.000473634,33
101,44,1059,4629,3.577903683,1021,105,143,133,59,42,61,127,9,40,0,68,4,0,3,0.226614386,80.16913944,100.8414895,5.698950004,24.06818182,6.395862555,327,0.30878187,565,0.000645327,40
102,60,1080,4572,3.47962963,916,78,133,102,46,40,84,117,6,36,23,40,1,0,13,0.226914443,43.59078276,116.8116667,4.276663755,18,5.669688889,287,0.265740741,522,0.000566388,30
103,37,634,2934,3.752365931,726,67,100,74,53,29,42,104,5,36,0,15,1,0,1,0.227544777,25.53286993,92.56649714,2.367115628,17.13513514,6.155062009,214,0.337539432,402,0.000422324,34
104,34,627,2772,3.558213716,685,54,89,83,40,27,32,83,6,34,0,35,0,0,0,0.228832394,30.10126983,95.69136856,3.068228854,18.44117647,5.911086659,161,0.256778309,354,0.00031773,35
105,48,984,4332,3.543699187,1055,77,147,127,55,39,68,163,5,47,0,59,1,0,0,0.229442174,45.51842146,95.32323171,3.987751777,20.5,5.888899593,247,0.25101626,599,0.000487449,30
106,32,941,4342,3.720510096,1047,79,136,95,73,46,69,147,2,30,2,32,0,0,1,0.229081456,107.0379008,82.8577944,7.775661115,29.40625,6.420671679,260,0.276301807,566,0.000513104,44
107,14,272,1241,3.705882353,290,27,33,49,17,7,6,32,5,13,0,7,0,0,1,0.229246933,19.45339331,96.91647059,3.556157635,19.42857143,6.167546849,116,0.426470588,144,0.000228923,31
108,30,526,2359,3.636882129,509,36,65,48,31,11,35,84,3,29,1,13,0,0,0,0.230645663,28.34958458,107.1728872,3.22110609,17.53333333,5.586837744,155,0.294676806,274,0.000305889,32
109,36,606,2855,3.846534653,658,75,88,91,36,28,33,78,3,35,0,23,1,0,0,0.231157312,33.90555318,97.88976073,2.405810537,16.83333333,6.425641254,240,0.396039604,354,0.000473634,40
110,22,594,2609,3.538720539,607,58,107,78,25,24,23,93,8,17,3,8,3,0,9,0.23136112,27.12672174,92.97848485,6.717736259,27,6.517484512,208,0.35016835,350,0.000410483,32
111,26,457,2178,3.86214442,476,56,54,70,26,12,16,55,5,24,0,27,2,0,0,0.231244997,24.41131626,100.8771364,2.878991597,17.57692308,6.443195035,177,0.387308534,233,0.000349305,40
112,43,781,3184,3.370038412,576,39,94,91,27,15,23,78,4,32,6,26,5,0,4,0.230840722,31.41550516,126.0059134,5.633838824,18.1627907,1.689363535,187,0.23943662,328,0.00036904,36
113,56,978,4285,3.513292434,1024,84,158,122,34,34,68,176,14,56,0,39,0,0,2,0.231232802,58.31336301,100.5296089,2.811350446,17.46428571,5.85892489,266,0.27198364,592,0.000524945,43
114,26,543,2807,4.197053407,699,83,71,81,39,17,34,90,3,26,0,9,0,0,1,0.231301832,60.85294369,76.73214301,4.061523605,20.88461538,7.085949667,228,0.419889503,332,0.000449953,36
115,29,595,2804,3.823529412,609,51,86,69,29,17,35,81,0,29,0,15,0,0,2,0.231706611,23.77176141,99.41941176,4.128735632,20.51724138,6.007583744,191,0.321008403,317,0.000376934,40
116,62,894,4199,3.85458613,987,110,128,117,49,18,51,98,4,59,3,37,0,0,2,0.230478054,27.74877912,98.7986837,1.306694284,14.41935484,6.294541163,265,0.296420582,461,0.000522971,45
117,32,623,2770,3.547351525,584,44,73,74,27,26,31,100,6,31,1,22,0,0,2,0.230858597,24.16318921,107.7702059,4.115513699,19.46875,5.717334591,171,0.274478331,331,0.000337464,36
118,53,905,4072,3.582320442,988,59,155,130,33,37,54,149,12,53,0,5,0,0,1,0.231487014,79.96386907,97.1445012,2.488893133,17.0754717,5.512846711,235,0.259668508,558,0.000463767,38
119,59,925,3858,3.351351351,895,62,138,108,35,27,71,161,14,56,2,45,1,0,0,0.230876282,30.3777588,109.0656482,2.521632421,15.6779661,5.472483875,265,0.286486486,540,0.000522971,37
120,70,905,4021,3.552486188,882,53,149,102,33,29,57,141,0,67,3,24,0,0,0,0.230822971,23.27495965,111.2625552,1.431709751,12.92857143,5.202475375,240,0.26519337,511,0.000473634,36
121,18,331,1558,3.833836858,382,44,50,38,22,6,14,60,4,18,0,12,0,0,0,0.231493849,16.34717314,90.53523246,2.911273997,18.38888889,6.647561699,151,0.456193353,190,0.000297995,31
122,4,78,357,3.756410256,81,7,7,12,4,3,5,5,2,4,0,2,0,0,2,0.23182998,9.018485674,99.18865385,3.670462963,19.5,6.020751282,43,0.551282051,36,8.49E-05,20
123,43,734,3325,3.705722071,724,88,93,111,29,21,24,83,1,42,0,20,0,0,7,0.231803296,34.89413937,106.0617746,2.939495053,17.06976744,6.376239484,242,0.329700272,361,0.000477581,38
124,5,543,2669,3.992633517,655,66,83,83,38,26,36,71,28,5,0,9,0,0,10,0.232136748,144.8057903,-5.443723757,45.28229008,108.6,10.94228652,214,0.394106814,337,0.000422324,32
125,32,780,3644,3.757692308,879,60,98,114,69,44,24,110,2,32,0,15,0,0,0,0.232974197,48.75861579,86.75668269,5.593802261,24.375,6.060115385,219,0.280769231,459,0.000432191,37
126,36,675,3160,3.777777778,724,56,89,101,45,28,42,113,9,36,0,5,0,0,1,0.233214491,27.83656796,97.06241667,3.254714549,18.75,5.876485185,234,0.346666667,418,0.000461793,40
127,26,757,3444,3.672391017,862,71,128,66,54,27,50,146,11,21,3,14,2,0,0,0.233149563,117.8383245,80.94840641,7.702645012,29.11538462,6.56158741,238,0.314398943,471,0.000469687,35
128,24,737,3399,3.758480326,788,87,95,132,31,34,38,92,4,23,1,52,0,0,0,0.233301007,63.1103455,85.21176758,8.251294416,30.70833333,7.023581773,284,0.385345997,422,0.000560467,40
129,34,987,4336,3.604863222,786,52,134,97,34,7,51,109,4,29,5,15,2,0,4,0.233513301,79.93108346,109.9987185,8.243439605,29.02941176,5.908253454,225,0.227963526,432,0.000444032,28
130,54,874,3966,3.660183066,860,80,120,135,55,31,50,93,2,52,2,9,0,0,1,0.233271444,40.93311701,107.1621858,2.613204134,16.18518519,5.88459411,271,0.31006865,484,0.000534812,38
131,29,535,2463,3.712149533,579,55,79,73,28,16,24,75,1,29,0,14,0,0,0,0.233531895,22.33471816,96.55224299,3.099833244,18.44827586,6.174805511,170,0.317757009,295,0.000335491,36
132,36,762,3688,3.942257218,865,78,96,128,49,36,35,76,2,36,0,24,0,0,2,0.23390808,50.782084,89.31540026,4.175746628,21.16666667,6.302665879,234,0.307086614,420,0.000461793,43
133,15,367,1685,3.659400545,424,41,55,55,15,16,21,66,3,14,0,8,0,0,0,0.234420739,47.81670892,84.2618238,5.647679245,24.46666667,6.614052116,154,0.419618529,228,0.000303915,34
134,4,515,2439,3.784466019,589,40,93,60,23,32,39,103,4,4,0,9,0,0,4,0.234583782,123.1360259,-20.6023665,52.15498727,128.75,11.24890777,171,0.332038835,350,0.000337464,32
135,42,792,3892,4.023989899,924,117,97,157,42,26,21,85,1,42,0,14,0,0,2,0.233683253,52.04002437,88.995,3.104285714,18.85714286,6.904427922,303,0.382575758,428,0.000597963,50
