,Sent_Count,Word_Count,Char_Count,Avg_Word_Count,Avg_Sentence_Length,Syllable_Count,Difficult_Word_Count,Verb_Count,Noun_Count,Adj_Count,Conj_Count,Adverb_Count,pNoun_Count,Spelling_Mistakes_Count,Count_Fullstops,Count_Exclamation,Count_Comma,Count_Questionmark,Count_Hyphens,Capitalization_Errors,Grammar_Error_Count,Semantic_Similarity,Total Score_Domain1,Total Score_Domain2
19,21,377,1767,3.75066313,17.95238095,414,29,59,70,22,11,14,54,8,21,0,14,0,0,0,1,0.436629921,3,3
20,11,348,1527,3.439655172,31.63636364,377,18,60,48,12,12,11,68,8,11,0,6,0,0,2,0,0.388331532,3,2
21,19,337,1546,3.676557864,17.73684211,320,19,47,37,10,12,7,57,5,18,0,5,0,0,0,4,0.440261871,3,3
22,9,237,1107,3.789029536,26.33333333,253,33,30,36,10,9,7,30,5,9,0,13,0,0,0,0,0.22217828,3,3
23,23,566,2710,3.809187279,24.60869565,611,44,82,94,29,23,20,78,13,18,0,17,4,0,0,1,0.339849621,4,4
24,22,588,2772,3.81292517,26.72727273,619,45,88,85,26,14,32,68,12,21,0,34,0,0,0,1,0.433178127,3,3
25,18,428,2214,4.207943925,23.77777778,535,71,49,77,37,20,14,49,15,17,0,11,0,0,0,1,0.257424951,4,3
26,11,212,1201,4.462264151,19.27272727,278,35,37,30,13,9,7,37,5,10,0,1,0,0,1,2,0.326446354,4,4
27,5,93,464,4.064516129,18.6,103,10,12,18,5,3,3,9,1,5,0,0,0,0,0,1,0.448413163,2,2
28,15,313,1508,3.897763578,20.86666667,373,41,47,49,15,14,8,55,6,13,0,11,2,0,0,0,0.234521225,3,3
29,20,320,1536,3.875,16,375,31,43,38,19,12,24,55,6,19,0,8,1,0,0,2,0.33653,3,3
30,38,486,2218,3.58436214,12.78947368,535,43,61,61,29,9,24,73,1,37,0,22,0,0,0,2,0.328338385,4,4
31,16,386,2086,4.453367876,24.125,537,48,36,67,32,12,23,47,0,15,0,19,1,0,0,0,0.452045768,3,4
32,8,196,952,3.93877551,24.5,211,18,20,41,14,4,11,19,5,7,0,10,0,0,0,1,0.294328541,3,2
33,23,472,2111,3.576271186,20.52173913,454,34,68,56,21,10,21,79,7,21,0,18,2,0,0,3,0.373301059,4,3
34,22,330,1566,3.809090909,15,364,25,56,47,10,8,9,58,13,17,0,12,4,0,3,0,0.280543298,3,3
35,27,487,2443,4.092402464,18.03703704,593,68,65,78,35,5,22,46,8,25,0,14,2,0,0,1,0.458714545,4,4
36,21,419,2041,3.892601432,19.95238095,480,46,61,67,25,17,10,58,1,17,0,20,3,0,0,0,0.316889465,4,4
37,22,406,2107,4.243842365,18.45454545,516,57,50,77,29,11,16,31,1,18,0,8,4,0,0,0,0.406358272,3,4
38,18,346,1740,4.104046243,19.22222222,403,44,34,69,20,7,13,30,4,17,0,14,0,0,0,0,0.384859771,3,3
39,23,500,2521,4.142,21.73913043,587,73,59,85,24,21,27,46,5,22,0,26,0,0,0,0,0.359521836,4,4
40,21,506,2488,3.92687747,24.0952381,583,52,69,104,16,26,20,54,30,19,0,14,1,0,3,3,0.386278957,3,3
41,21,337,1817,4.409495549,16.04761905,426,38,32,74,23,13,10,38,3,20,0,11,0,0,0,0,0.461717695,4,4
42,44,830,3949,3.839759036,18.86363636,907,82,126,135,42,53,28,127,32,38,4,10,3,0,2,1,0.287070155,4,4
43,27,571,2888,3.835376532,21.14814815,636,54,82,104,25,28,18,75,15,20,5,20,2,0,1,3,0.31020689,4,3
44,24,379,1811,3.899736148,15.79166667,433,60,43,69,28,5,15,31,4,23,0,16,0,0,1,0,0.350305885,4,4
45,16,335,1585,3.602985075,20.9375,320,24,42,47,12,17,10,53,12,15,0,16,0,0,0,2,0.328141063,4,4
46,31,753,3704,3.956175299,24.29032258,853,98,103,117,35,25,31,97,7,28,0,19,2,0,4,0,0.409234375,4,4
47,9,321,1646,4.218068536,35.66666667,411,45,37,61,20,21,20,28,9,8,0,14,2,0,1,2,0.427978009,3,3
48,25,437,1984,3.661327231,17.48,476,44,63,65,16,15,24,62,13,16,0,23,9,0,0,0,0.306663632,4,4
49,18,377,1895,4.079575597,20.94444444,453,54,47,70,37,10,15,31,4,18,0,15,0,0,0,2,0.410397679,3,3
50,30,581,2913,4.123924269,19.36666667,700,68,67,101,31,20,27,49,0,25,0,31,4,0,1,1,0.373320758,5,4
51,18,304,1393,3.588815789,16.88888889,341,27,48,39,18,8,20,61,8,18,0,0,0,0,2,1,0.215125814,3,2
52,21,432,2096,3.93287037,20.57142857,477,39,43,71,46,21,23,48,2,20,0,19,0,0,1,0,0.310988426,4,4
53,13,256,1355,4.3125,19.69230769,325,29,28,59,11,5,19,29,2,12,0,10,0,0,1,0,0.37794438,3,4
54,20,521,2706,4.234165067,26.05,655,47,62,96,24,19,17,54,8,19,0,21,0,0,1,0,0.407748461,4,3
55,40,683,3226,3.773060029,17.075,758,61,96,124,36,31,40,96,16,34,0,16,5,0,0,1,0.363017887,4,3
56,34,835,4254,4.153293413,24.55882353,998,111,109,156,42,37,24,81,2,32,0,39,1,0,1,0,0.337251335,4,4
57,8,150,754,4.026666667,18.75,179,21,24,23,7,4,8,17,10,7,0,3,0,0,2,0,0.285989046,2,2
58,17,291,1538,4.079037801,17.11764706,339,32,43,42,16,11,20,42,12,11,0,10,5,0,0,2,0.3201783,3,3
59,31,513,2636,4.142300195,16.5483871,608,75,63,101,26,14,21,70,4,26,1,9,3,0,0,2,0.361364007,4,4
60,4,97,477,3.865979381,24.25,120,9,6,20,8,3,6,5,1,4,0,1,0,0,0,0,0.596092403,2,3
61,8,242,1276,4.26446281,30.25,303,31,33,48,16,8,7,33,14,7,0,2,0,0,0,0,0.551651001,3,2
62,17,466,2153,3.74248927,27.41176471,535,61,64,73,25,22,26,62,12,14,0,30,2,0,2,1,0.350822896,3,3
63,41,590,3002,4.152542373,14.3902439,689,69,99,128,36,28,23,67,14,40,0,11,0,0,1,1,0.314706594,4,3
64,20,356,1633,3.735955056,17.8,381,48,41,58,19,8,21,37,3,18,1,7,1,0,1,2,0.379132271,4,4
65,24,337,1519,3.685459941,14.04166667,374,48,50,53,20,13,23,51,10,19,1,18,3,0,1,2,0.216440037,3,4
66,14,275,1313,3.832727273,19.64285714,309,35,42,47,7,8,13,39,8,13,0,6,0,0,0,0,0.2900334,3,3
67,31,419,1915,3.682577566,13.51612903,450,37,52,69,21,14,20,44,11,26,2,23,4,0,1,2,0.282481015,4,3
68,12,263,1285,3.946768061,21.91666667,300,26,28,48,20,21,9,31,9,12,0,16,0,0,0,1,0.335024685,3,3
69,14,318,1683,4.308176101,22.71428571,414,50,47,48,24,15,19,46,2,14,0,7,0,0,1,1,0.321346313,3,4
70,36,589,2688,3.617996604,16.36111111,636,51,93,81,34,11,27,80,2,35,0,15,0,0,0,1,0.282953292,3,4
71,19,340,2201,4.191176471,17.89473684,420,33,26,71,32,20,14,31,10,17,0,10,1,0,0,0,0.346511394,4,3
72,20,371,1729,3.789757412,18.55,405,33,42,56,22,30,11,42,12,19,0,10,1,0,1,2,0.347496033,2,2
73,24,465,2420,4.240860215,19.375,627,91,58,89,32,10,18,52,6,21,0,18,3,2,0,0,0.30741033,4,4
74,20,435,2053,3.8,21.75,511,55,56,75,27,9,17,70,2,20,0,18,0,0,0,0,0.330090255,4,4
75,20,419,1938,3.682577566,20.95,473,24,53,51,16,9,34,69,9,16,0,19,3,0,0,2,0.306071788,3,3
76,23,517,2429,3.858800774,22.47826087,552,40,73,77,25,16,23,55,15,14,0,25,9,0,0,5,0.334356189,3,4
77,16,341,1651,3.873900293,21.3125,397,30,55,59,15,21,9,41,7,14,0,5,1,0,1,3,0.298687041,3,3
78,16,356,1859,4.286516854,22.25,451,49,33,74,33,16,16,21,21,15,0,19,0,0,2,0,0.263858736,3,3
79,7,130,640,3.953846154,18.57142857,157,12,25,10,6,7,7,26,2,7,0,3,0,0,0,0,0.328986317,3,3
80,24,414,2074,4.026570048,17.25,498,36,56,74,25,17,11,58,7,21,0,14,2,0,0,2,0.289334118,3,3
81,18,386,1915,3.981865285,21.44444444,452,38,55,68,11,14,17,55,4,17,0,12,1,0,0,0,0.396405607,3,3
82,18,405,2069,4.160493827,22.5,500,27,47,69,42,4,14,50,18,18,0,1,0,0,0,3,0.296621621,4,3
83,13,354,1899,4.141242938,27.23076923,442,35,56,46,22,13,20,63,11,11,0,16,1,0,0,1,0.41336143,3,3
84,21,369,1905,4.254742547,17.57142857,466,47,56,47,25,10,9,52,7,21,0,6,0,0,0,0,0.222145796,3,3
85,15,396,2049,4.234848485,26.4,500,63,46,81,29,15,8,33,2,13,0,21,1,0,1,1,0.391673595,4,4
86,15,383,1748,3.660574413,25.53333333,428,29,62,43,21,14,13,47,13,15,0,9,0,0,3,0,0.310633659,3,3
87,8,142,797,4.605633803,17.75,196,29,21,20,9,3,9,16,5,8,0,3,0,0,0,0,0.256716639,3,3
88,2,76,390,4.065789474,38,90,11,10,13,2,2,5,10,7,1,0,4,0,0,0,0,0.328086197,1,1
89,24,474,2389,4.0907173,19.75,576,36,61,71,30,16,12,86,21,22,0,8,2,0,1,1,0.486258268,4,4
90,14,280,1342,3.878571429,20,316,21,38,56,12,9,3,31,1,14,0,7,0,0,0,1,0.528019667,2,2
91,34,670,3220,3.850746269,19.70588235,765,65,105,105,30,33,26,125,11,32,0,5,1,0,0,5,0.262943238,4,3
92,13,322,1601,4.043478261,24.76923077,399,34,41,35,22,10,23,60,7,12,0,18,0,0,0,0,0.377874494,3,3
93,17,338,1737,4.215976331,19.88235294,441,54,45,57,14,13,12,46,3,16,0,15,1,0,1,2,0.492836118,4,4
94,32,770,3608,3.758441558,24.0625,868,64,124,103,27,35,56,129,23,26,2,24,3,0,1,4,0.332086861,4,4
95,64,1168,6098,4.295376712,18.25,1534,160,143,239,71,28,39,122,8,51,0,16,12,0,0,2,0.263501257,4,4
96,22,647,3298,4.160741886,29.40909091,807,100,70,139,42,21,18,73,7,21,0,18,1,0,0,0,0.373752654,4,4
97,25,681,3530,4.245227606,27.24,867,107,90,142,48,12,33,52,8,24,0,19,1,0,0,5,0.390881419,4,4
98,19,365,1809,3.994520548,19.21052632,444,44,55,67,14,11,10,35,9,17,0,10,0,0,1,1,0.428307533,3,3
99,30,699,3482,4.108726753,23.3,808,92,76,116,41,28,30,71,7,28,0,25,2,0,0,0,0.341454327,5,4
100,13,491,2327,3.798370672,37.76923077,587,40,67,83,35,31,28,76,15,11,0,10,1,0,0,3,0.305398554,3,3
101,25,479,2162,3.592901879,19.16,498,29,71,62,23,16,26,72,10,17,0,17,7,0,0,2,0.427482575,3,3
102,28,522,2572,4.017241379,18.64285714,616,74,75,80,25,11,29,71,7,28,0,20,0,0,1,0,0.279841542,4,4
103,17,385,1795,3.766233766,22.64705882,395,40,46,69,22,16,12,42,13,15,0,13,1,0,3,0,0.34857437,4,4
104,3,257,1446,4.649805447,85.66666667,358,34,33,57,23,11,12,24,2,3,0,7,0,0,1,0,0.770915449,3,3
105,7,345,1766,4.165217391,49.28571429,412,32,59,64,19,9,5,46,11,6,0,10,0,0,1,4,0.641755462,3,3
106,26,509,2523,3.990176817,19.57692308,616,63,76,78,33,17,24,78,6,24,0,10,1,0,1,0,0.359368414,3,4
107,11,206,971,3.766990291,18.72727273,231,21,23,33,10,5,1,29,8,11,0,8,0,0,0,0,0.447735399,3,4
108,9,131,633,3.854961832,14.55555556,141,13,25,22,3,5,2,16,3,8,0,1,0,0,0,0,0.368898988,2,3
109,7,181,883,4.016574586,25.85714286,228,36,12,24,5,9,6,13,0,4,0,15,3,0,37,1,0.225851595,2,3
110,25,368,1811,3.964673913,14.72,440,32,43,83,16,9,10,28,6,24,0,6,0,0,0,2,0.515194774,3,3
111,14,343,1796,4.271137026,24.5,430,58,51,59,26,18,20,29,2,11,0,19,2,0,1,1,0.337352127,3,4
112,25,405,1959,3.903703704,16.2,450,25,56,52,30,6,16,57,0,25,0,12,0,1,0,0,0.6565575,3,3
113,8,192,951,4.046875,24,230,24,24,42,11,4,12,16,2,8,0,7,0,0,1,0,0.22005567,2,2
114,9,200,915,3.6,22.22222222,201,5,37,28,4,5,12,32,14,7,0,7,1,0,1,1,0.362374246,3,3
115,15,295,1412,3.844067797,19.66666667,306,29,35,65,14,21,5,22,9,12,0,19,2,0,0,1,0.288999557,3,3
116,13,382,1744,3.615183246,29.38461538,426,39,56,63,18,21,13,49,5,12,0,16,0,0,0,0,0.297257394,4,3
117,6,162,753,3.672839506,27,176,15,16,35,14,9,4,12,5,5,0,3,0,0,1,2,0.577173829,2,2
118,10,152,708,3.743421053,15.2,162,11,26,19,11,4,7,22,2,10,0,2,0,0,0,1,0.226704657,1,2
119,27,533,2375,3.562851782,19.74074074,508,40,78,65,18,13,23,80,13,22,0,17,5,0,0,0,0.33581382,3,3
120,10,224,1123,4.084821429,22.4,272,22,36,46,14,5,9,21,14,9,0,9,1,0,0,4,0.45892477,3,3
121,22,648,3295,4.135802469,29.45454545,821,76,74,123,53,24,32,65,8,22,0,16,0,0,0,1,0.306597441,4,4
122,7,410,1918,3.797560976,58.57142857,481,32,58,66,23,24,12,65,16,6,0,24,0,0,3,5,0.529110849,3,3
123,12,226,1115,3.977876106,18.83333333,253,23,30,48,6,8,6,19,5,11,0,19,0,0,0,1,0.420272559,3,3
124,17,279,1484,4.362007168,16.41176471,360,52,43,59,21,11,7,26,1,16,0,4,1,0,0,0,0.3329584,3,4
125,18,337,1611,3.84272997,18.72222222,369,40,50,56,11,15,9,51,8,17,0,16,0,0,0,3,0.275803447,3,3
126,39,709,3576,4.115655853,18.17948718,851,78,107,112,32,12,24,122,18,37,1,19,0,0,3,0,0.40378806,5,4
127,17,237,1141,3.894514768,13.94117647,277,28,30,27,15,10,10,35,3,13,0,6,3,0,0,0,0.339318246,3,4
128,29,666,3413,4.219219219,22.96551724,829,100,81,137,46,21,20,59,2,26,2,39,0,0,0,0,0.379702181,4,4
129,15,499,2571,4.234468938,33.26666667,629,71,56,76,40,23,12,51,5,15,0,27,0,0,0,0,0.313788831,3,4
130,14,295,1522,4.227118644,21.07142857,389,46,46,62,12,11,7,25,0,12,0,13,1,0,0,0,0.337801516,3,3
131,21,495,2334,3.785858586,23.57142857,535,48,64,95,25,14,16,69,9,20,0,31,0,0,0,3,0.332582891,3,3
132,11,249,1238,4.0562249,22.63636364,300,28,33,52,18,7,8,25,6,10,0,21,0,0,0,2,0.201736882,3,3
133,17,348,1708,3.945402299,20.47058824,415,46,43,72,17,11,12,29,4,15,0,11,1,0,5,0,0.422923386,3,3
134,12,263,1398,4.33460076,21.91666667,350,51,36,40,19,9,19,28,3,11,0,12,0,0,0,0,0.406782359,3,4
135,16,287,1446,4.083623693,17.9375,355,39,54,45,11,10,12,39,1,15,0,1,0,0,0,1,0.431796491,3,4
136,28,602,2802,3.777408638,21.5,669,67,87,102,31,27,34,66,13,26,0,33,2,0,2,1,0.287670285,4,4
137,15,422,2112,4.026066351,28.13333333,510,36,49,78,30,16,17,43,2,13,0,10,1,0,0,1,0.388722479,4,4
138,15,280,1341,3.821428571,18.66666667,325,32,43,60,15,18,2,35,3,14,0,11,0,0,0,0,0.342633009,3,4
139,14,340,1644,3.835294118,24.28571429,384,31,37,56,13,11,10,47,5,14,0,13,0,0,5,1,0.44009316,3,3
140,6,155,749,3.851612903,25.83333333,181,19,21,32,5,5,8,12,2,6,0,1,0,0,0,1,0.253661722,2,1
141,25,552,2979,4.456521739,22.08,754,91,73,97,31,19,38,57,8,24,0,16,1,0,0,2,0.367613465,4,4
142,24,463,2319,4.099352052,19.29166667,551,39,60,63,30,11,28,76,17,23,0,8,1,0,0,4,0.335793376,3,3
143,16,467,2341,4.119914347,29.1875,576,87,66,82,20,14,13,56,6,16,0,29,0,0,0,1,0.400039673,4,4
144,20,460,2216,3.882608696,23,540,60,51,95,28,17,23,46,6,14,0,21,5,0,1,2,0.334028929,4,3
145,14,304,1525,4.092105263,21.71428571,383,43,28,52,26,8,7,35,2,14,0,11,0,0,0,1,0.344513535,4,4
146,25,405,1835,3.619753086,16.2,437,31,56,57,16,20,16,61,11,22,0,15,3,0,0,1,0.302102506,4,4
147,29,694,3443,4.002881844,23.93103448,812,55,90,129,44,35,40,71,21,27,1,6,1,0,1,2,0.413157672,4,4
148,20,540,2779,4.218518519,27,683,89,60,110,45,38,28,33,20,17,0,23,3,0,0,4,0.295698375,4,3
149,23,462,2194,3.837662338,20.08695652,533,44,51,89,29,9,24,53,13,22,0,19,1,0,0,1,0.402175248,3,3
150,25,450,2156,3.877777778,18,496,48,50,70,27,14,21,59,8,23,0,16,1,0,0,2,0.329030573,4,4
151,39,1036,4941,3.848455598,26.56410256,1207,98,148,123,42,46,38,177,7,25,0,56,13,0,1,1,0.305724353,4,3
152,19,488,2661,4.489754098,25.68421053,644,79,58,124,21,22,22,27,2,18,0,8,0,0,2,1,0.488309741,4,4
153,12,326,1605,4.009202454,27.16666667,378,47,41,53,17,13,22,24,3,11,0,25,1,0,0,0,0.473042279,4,4
154,23,460,2273,3.945652174,20,425,25,44,69,15,15,19,48,8,21,0,11,2,0,0,1,0.333464622,3,3
155,27,484,2428,4.082644628,17.92592593,601,66,76,82,29,11,22,51,7,25,0,7,1,0,1,0,0.422946125,4,4
156,24,513,2508,3.941520468,21.375,615,57,75,90,24,16,25,50,10,23,0,11,0,0,3,3,0.322963595,4,3
157,14,339,1495,3.557522124,24.21428571,361,37,42,45,24,9,17,47,7,9,0,32,4,0,0,2,0.215972662,3,3
158,25,461,2224,3.878524946,18.44,522,32,68,64,26,17,16,64,8,20,1,18,3,0,0,2,0.42258358,4,4
159,24,362,1823,4.104972376,15.08333333,451,67,47,82,23,16,18,33,6,21,0,15,2,0,0,1,0.275901645,3,3
160,17,371,1826,4.002695418,21.82352941,463,64,53,67,26,6,12,37,3,17,0,18,0,0,0,1,0.435655147,4,4
161,26,387,1820,3.741602067,14.88461538,431,39,60,75,13,14,21,63,7,16,7,3,2,0,4,2,0.298408478,3,3
162,14,447,2278,4.140939597,31.92857143,553,38,66,79,25,9,25,63,15,13,0,19,0,0,3,2,0.415338486,4,3
163,28,490,2348,3.867346939,17.5,550,42,62,69,35,22,7,76,11,28,0,7,0,0,1,0,0.289964527,3,3
164,16,513,2516,3.966861598,32.0625,589,49,76,71,30,28,39,84,9,15,0,19,0,0,0,0,0.374994278,4,4
165,14,379,1846,3.941952507,27.07142857,432,41,58,52,21,16,10,63,9,13,0,14,0,0,0,3,0.324735194,3,3
166,16,339,1734,4.212389381,21.1875,426,61,46,48,18,14,14,40,6,16,0,16,0,0,0,0,0.398925155,4,4
167,34,588,2919,4.020408163,17.29411765,719,68,81,123,40,15,27,38,12,33,0,9,0,0,0,3,0.423912674,4,4
168,11,234,1114,3.816239316,21.27272727,264,19,33,41,18,7,7,30,8,9,0,0,2,0,0,2,0.556117415,3,4
169,4,99,499,4.04040404,24.75,119,11,13,14,9,5,2,10,0,3,0,0,0,0,13,1,0.63827759,2,2
170,8,214,1042,3.929906542,26.75,251,18,22,42,10,6,6,37,9,7,0,6,0,0,2,0,0.433647007,3,2
171,16,453,2204,3.91611479,28.3125,519,44,64,89,13,21,9,73,3,16,0,9,0,0,1,5,0.381183743,3,3
172,28,621,3211,4.214170692,22.17857143,780,103,89,131,48,33,22,36,9,26,0,18,1,0,0,1,0.292062283,4,3
173,21,422,2120,4.109004739,20.0952381,511,48,59,86,17,16,13,39,4,18,0,23,1,0,0,1,0.355291337,3,4
174,7,335,1824,4.420895522,47.85714286,457,51,39,63,29,12,18,45,1,5,0,9,1,0,1,3,0.357383043,4,4
175,38,809,3948,3.961681088,21.28947368,926,79,114,143,47,23,39,104,14,38,0,13,1,1,0,5,0.303497642,4,3
176,8,199,1059,4.281407035,24.875,257,28,21,32,21,9,8,16,4,6,1,2,1,0,0,0,0.464714915,3,3
177,9,207,1041,4.053140097,23,237,22,26,36,13,11,7,27,3,8,0,0,0,0,0,4,0.442104429,3,3
178,15,326,1611,3.996932515,21.73333333,393,37,41,63,21,18,11,41,12,15,0,6,0,0,0,1,0.379581839,4,4
179,28,524,2604,4.036259542,18.71428571,623,68,59,94,36,22,15,47,3,28,0,16,0,0,0,2,0.317920744,4,4
180,8,195,961,3.958974359,24.375,224,23,28,23,8,11,9,33,11,8,0,4,0,0,0,1,0.335407048,2,2
181,9,196,956,3.709183673,21.77777778,215,12,30,24,5,13,10,34,1,8,0,3,1,0,0,3,0.280047864,1,2
182,30,467,2140,3.65738758,15.56666667,519,43,70,62,24,14,23,81,3,23,0,12,6,0,0,0,0.262177229,3,4
183,24,431,2191,4.167053364,17.95833333,519,47,79,60,12,9,21,79,24,19,0,18,5,0,3,1,0.307532907,3,3
184,23,483,2542,4.279503106,21,601,69,56,112,23,15,21,36,6,22,0,15,0,0,0,0,0.475125045,4,4
185,22,396,2048,4.169191919,18,489,61,58,77,28,22,11,51,3,18,0,17,3,0,1,0,0.246559829,5,4
186,13,309,1490,3.870550162,23.76923077,370,40,48,55,15,15,18,35,6,12,0,7,1,0,0,1,0.26368162,3,3
187,15,307,1452,3.781758958,20.46666667,323,26,44,34,20,5,16,36,1,13,0,11,1,0,0,0,0.42878288,4,4
188,20,540,2828,4.281481481,27,693,69,78,99,28,14,25,61,6,19,0,23,0,0,0,0,0.49874571,4,4
189,20,255,1297,3.909803922,12.75,293,17,34,41,11,2,4,28,4,19,0,0,0,0,1,0,0.333752632,3,4
190,18,356,1691,3.882022472,19.77777778,425,53,36,62,32,7,19,44,6,16,0,22,1,0,0,0,0.254686117,4,4
191,19,420,2163,4.247619048,22.10526316,517,68,40,85,33,16,18,27,11,18,0,20,1,0,0,0,0.413112044,3,3
192,28,400,1706,3.35,14.28571429,371,12,47,52,16,8,8,76,3,26,0,3,1,0,1,4,0.359812111,3,3
193,38,612,3095,4.089869281,16.10526316,732,107,69,128,31,24,26,49,4,36,0,20,1,0,0,4,0.32451269,5,4
194,23,667,3176,3.889055472,29,712,63,91,104,32,29,25,63,20,20,0,28,3,0,2,2,0.345007926,4,4
195,28,540,2551,3.77962963,19.28571429,577,41,57,92,35,17,24,55,4,25,0,3,2,0,0,4,0.359464467,3,3
196,12,307,1430,3.736156352,25.58333333,335,32,54,49,16,15,11,50,15,8,0,19,3,0,1,2,0.313654393,3,3
197,31,684,3291,3.916666667,22.06451613,793,65,76,108,48,25,22,80,2,26,0,40,4,0,0,1,0.408762634,4,4
198,24,579,2891,4.03626943,24.125,700,67,78,98,20,24,29,73,7,23,0,19,0,0,0,0,0.430622339,4,4
199,1,177,826,3.677966102,177,197,17,26,41,8,11,8,23,11,1,0,1,0,0,4,0,0,1,1
200,18,371,1775,3.873315364,20.61111111,416,40,63,47,12,11,16,51,0,17,0,25,1,0,0,0,0.373408586,4,4
201,24,431,2002,3.730858469,17.95833333,481,51,48,63,26,15,15,57,5,21,0,17,2,0,0,0,0.362701505,4,4
202,37,772,3542,3.71373057,20.86486486,871,84,89,123,38,27,42,91,4,34,1,53,2,0,1,1,0.250435472,3,4
203,31,673,3307,3.985141159,21.70967742,793,95,90,123,36,25,32,82,19,30,0,35,1,0,1,1,0.318303674,4,4
204,13,200,981,4.06,15.38461538,202,21,25,42,14,4,8,24,8,13,0,9,0,0,2,1,0.162438095,2,2
205,18,367,1867,4.171662125,20.38888889,425,41,55,61,18,15,12,55,13,15,0,14,3,0,4,0,0.292366713,3,4
206,19,413,2144,4.239709443,21.73684211,505,44,59,85,28,15,19,48,17,18,0,11,0,0,0,1,0.493087977,3,3
207,17,390,1908,3.920512821,22.94117647,462,41,46,74,17,13,12,57,6,14,0,4,2,0,2,1,0.423137635,4,3
208,11,327,1520,3.733944954,29.72727273,362,15,42,51,17,15,18,34,19,10,0,4,0,0,0,3,0.453926235,2,2
209,17,309,1561,4.080906149,18.17647059,387,45,39,53,17,10,13,41,11,15,0,3,1,0,1,0,0.32905364,3,3
210,12,451,2105,3.720620843,37.58333333,493,36,60,70,21,14,38,62,5,11,0,29,1,0,1,2,0.327596426,3,3
211,32,590,2938,4.054237288,18.4375,694,66,85,101,26,16,33,74,8,32,0,21,0,0,0,1,0.442701876,4,4
212,28,413,1941,3.774818402,14.75,465,40,51,66,32,11,21,54,3,21,0,17,6,0,2,0,0.318540335,4,3
213,36,661,3132,3.812405446,18.36111111,780,67,117,84,26,35,36,121,14,33,0,10,3,0,0,1,0.286165237,4,4
214,11,212,1024,3.872641509,19.27272727,249,21,29,30,19,7,4,30,5,10,0,2,0,0,0,2,0.375067651,3,3
215,19,411,2153,4.282238443,21.63157895,526,46,53,82,33,24,16,28,6,19,0,8,0,0,0,0,0.406140417,3,3
216,13,468,2251,3.863247863,36,555,42,68,58,30,28,33,58,5,13,0,15,0,0,0,2,0.478227824,3,4
217,19,356,1809,4.162921348,18.73684211,435,56,53,54,19,8,12,53,4,15,0,22,4,0,1,0,0.331609964,4,4
