,Sent_Count,Word_Count,Char_Count,Avg_Word_Count,Verb_Count,Noun_Count,Adj_Count,Conj_Count,Adverb_Count,pNoun_Count,Count_Fullstops,Count_Exclamation,Count_Comma,Count_Questionmark,Count_Hyphens,Capitalization_Errors,Grammar_Error_Count,Punctuation_Errors,Connectivity_Index,Semantic_Similarity,Flesch_Reading_Ease_Score,Flesh_Kincaid_Grade,Dale_Challl_Readability_Score,Lexical_Diversity,Lexical_Density,Lexical_Originality,Total Score
12,6,211,1007,3.81042654,32,40,13,12,6,33,6,0,0,0,0,6,2,1,14.9807407,0.200107977,68.89912717,10.74892157,7.32645387,0.431279621,136,0.000122228,7
13,25,332,1618,3.948795181,40,86,27,17,11,35,25,0,0,0,0,2,15,0,6.516833275,0.253254503,88.11543855,0.338514286,6.054916916,0.286144578,216,0.000127601,6
14,13,197,991,4.14213198,27,46,13,8,11,18,13,0,7,0,0,0,2,0,13.12334303,0.428018421,85.81120656,1.239593496,6.391937876,0.416243655,123,0.00011014,6
15,35,605,3168,4.368595041,90,139,38,20,16,41,34,0,23,1,0,1,0,0,18.32305572,0.32913515,79.79942149,2.25235395,6.973292916,0.34214876,345,0.000278035,12
16,18,385,1804,3.818181818,55,64,15,14,15,61,17,0,18,1,0,0,4,0,27.19454616,0.385264844,85.1434596,4.252948718,6.214869408,0.319480519,224,0.000165209,8
17,15,420,1959,3.795238095,65,60,20,24,33,58,15,0,26,0,0,0,2,3,31.51531352,0.316820234,80.31928571,7.248591376,6.453919048,0.361904762,260,0.000204161,8
18,7,72,362,4.125,8,9,6,1,0,4,6,0,0,0,0,13,0,0,2.161187086,0.281228691,95.345,-0.919501661,6.997643651,0.388888889,28,3.76E-05,4
19,11,181,868,3.939226519,23,43,12,8,5,15,10,2,3,0,0,1,2,2,10.75513186,0.321255207,92.44634355,2.039138756,6.72082225,0.464088398,106,0.000112826,6
20,20,405,2049,4.155555556,57,63,28,11,31,44,19,0,14,1,0,5,1,0,31.06497415,0.382502168,78.91236111,3.73066537,6.824208642,0.392592593,234,0.000213563,8
21,2,59,317,4.440677966,10,14,3,3,0,7,2,0,0,0,0,0,0,0,6.693147181,0.464477718,67.91622881,8.390526316,8.311225424,0.627118644,37,4.97E-05,3
22,30,593,2878,3.976391231,82,101,30,30,24,74,28,0,11,2,0,2,4,3,33.32410384,0.301131457,90.61601546,3.55389911,6.400957021,0.300168634,341,0.000239083,10
23,39,673,3216,3.959881129,92,129,41,18,36,65,28,10,42,1,0,3,1,1,21.43066846,0.354073644,92.14916409,2.413479948,6.111303536,0.29717682,381,0.000268633,11
24,16,325,1673,4.249230769,56,67,15,14,15,25,16,0,10,0,0,0,0,0,16.39393297,0.441767603,78.97104327,3.760752427,6.587384615,0.344615385,192,0.000150435,8
25,22,429,2004,3.843822844,61,69,24,22,13,54,12,8,23,2,0,0,1,1,13.20771621,0.343243271,97.51243007,3.608402082,6.223187179,0.314685315,242,0.000181327,9
26,7,142,650,3.73943662,15,27,7,4,4,18,7,0,6,0,0,2,2,3,13.91556108,0.272259474,98.07035211,3.977335907,5.865840443,0.387323944,75,7.39E-05,4
27,28,407,2046,4.144963145,64,81,29,15,22,41,26,2,16,0,0,1,3,2,16.86253823,0.289370149,90.85225737,1.054815928,6.56884735,0.405405405,252,0.000221622,9
28,23,432,2062,3.916666667,50,83,23,15,17,52,20,2,22,1,0,0,0,0,23.02761607,0.3342565,89.07065217,3.070372671,6.395663688,0.314814815,240,0.00018267,9
29,15,285,1421,4.087719298,51,56,19,12,12,34,15,0,6,0,0,0,1,0,11.71537755,0.461770296,79.20263158,3.11369863,6.462619298,0.38245614,184,0.000146405,8
30,34,574,2603,3.728222997,72,95,32,21,45,79,27,3,30,4,0,1,1,2,17.9621853,0.299554408,96.40359295,2.371040331,6.592035438,0.327526132,341,0.000252515,10
31,36,588,2768,3.879251701,78,104,22,25,38,63,29,3,26,4,0,2,1,4,17.66499011,0.306352288,95.44136054,2.077846485,6.433810204,0.316326531,327,0.000249829,10
32,12,191,917,3.931937173,22,42,18,7,9,17,12,0,7,0,0,1,0,1,10.91300858,0.264592916,93.67748909,1.818824201,6.740731065,0.445026178,115,0.000114169,6
33,26,416,1878,3.646634615,62,87,18,16,18,40,25,1,15,0,0,2,2,1,25.86752921,0.284713328,98.67384615,2.050176991,6.024282692,0.324519231,241,0.000181327,8
34,33,473,2283,3.955602537,78,79,27,9,27,60,29,1,22,3,0,0,3,0,11.92377307,0.280453444,89.26425652,0.907203283,5.682739887,0.317124736,280,0.000201475,9
35,24,637,3015,3.886970173,74,83,46,16,26,80,16,4,35,4,0,0,1,1,33.04849659,0.387157947,87.5922256,6.519001799,6.712919571,0.310832025,325,0.000265947,10
36,31,554,2654,3.911552347,69,106,39,18,31,65,27,2,25,2,0,1,2,2,15.46999149,0.319879711,93.10102189,2.728295373,6.404019134,0.333935018,328,0.000248486,12
37,17,379,1868,4.005277045,53,70,23,8,15,44,17,0,7,0,0,0,1,2,19.77912917,0.312426567,73.93628589,4.795977614,7.075375307,0.35883905,213,0.00018267,8
38,22,480,2387,4.047916667,80,97,24,27,28,49,21,1,7,0,0,0,2,0,47.11366868,0.283666164,78.58704545,4.490456056,6.659535985,0.354166667,305,0.000228338,10
39,15,215,1022,3.874418605,31,52,11,5,1,29,15,0,3,0,0,2,3,0,5.982630434,0.271911174,86.83178295,0.84441791,6.697572868,0.427906977,129,0.000123571,7
40,3,44,220,4.090909091,7,12,2,1,1,3,3,0,0,0,0,0,0,0,5.530557911,0.526664853,84.27560606,0.961428571,6.158284848,0.659090909,26,3.90E-05,2
41,14,304,1482,3.950657895,29,56,19,13,19,45,14,0,0,0,0,0,2,3,12.80071727,0.356887221,83.21934211,4.405802348,6.167870677,0.375,181,0.000153121,8
42,8,155,776,4.109677419,24,33,6,6,4,17,8,0,2,0,0,0,0,1,6.750126201,0.545969844,80.19131048,3.296632653,6.83866129,0.490322581,90,0.000102081,6
43,28,358,1636,3.698324022,48,83,20,4,14,26,28,0,5,0,0,1,3,0,15.41105798,0.490352035,103.3496788,0.77440787,5.108688188,0.24301676,195,0.000116855,8
44,20,371,1710,3.74393531,41,79,15,23,21,33,17,0,14,3,0,0,5,2,15.35019711,0.351088852,97.47790903,3.17870403,5.705717466,0.347708895,212,0.000173268,8
45,11,325,1630,4.101538462,60,62,18,9,8,57,11,0,6,0,0,1,3,4,12.85682927,0.423864663,67.51713287,8.431861472,6.510908392,0.292307692,214,0.000127601,8
46,18,341,1643,3.900293255,46,83,16,14,23,28,16,2,6,0,0,0,1,1,40.16885866,0.286019653,85.39172613,3.103171521,6.474648843,0.404692082,210,0.000185357,8
47,33,626,2852,3.691693291,72,109,30,16,42,64,28,0,22,5,0,1,2,0,26.86346532,0.254866183,93.79098122,3.255622216,6.015144574,0.300319489,333,0.000252515,11
48,27,350,1803,4.254285714,43,70,23,7,18,46,25,0,6,2,0,0,3,0,9.726485926,0.338629127,84.42273545,0.07605703,5.903577249,0.362857143,207,0.000170582,6
49,4,87,472,4.482758621,11,21,8,3,5,6,3,0,1,0,0,0,0,0,5.223282578,0.336699098,73.90357759,4.530263158,7.437713793,0.609195402,54,7.12E-05,5
50,13,603,2791,3.683250415,87,70,32,39,41,101,12,0,5,0,0,2,4,13,58.03091014,0.348738045,65.47401837,15.15839286,7.036977918,0.278606965,370,0.000225652,9
51,15,263,1323,4.117870722,38,55,18,6,13,36,15,0,3,0,0,1,3,0,28.41139536,0.246613473,84.17326743,2.405631902,6.547446109,0.418250951,166,0.000147748,7
52,27,487,2214,3.685831622,64,84,11,12,29,73,27,0,21,0,0,1,2,3,46.22507133,0.296154767,96.97874211,2.926586549,5.730787961,0.314168378,273,0.000205504,8
53,30,487,2300,3.876796715,64,106,23,16,22,56,27,2,26,1,0,4,2,3,20.18721541,0.230220959,91.86083607,1.916097002,6.71128319,0.347022587,287,0.000226995,10
54,11,260,1363,4.334615385,29,52,14,8,23,32,9,3,7,0,0,1,4,1,23.50186453,0.404838264,75.79255245,5.399773418,6.630786713,0.361538462,158,0.000126258,8
55,22,505,2877,4.77029703,69,125,29,21,22,34,22,0,11,0,0,0,0,0,41.78632287,0.26448682,54.54207696,5.798961039,8.339520702,0.415841584,300,0.000282065,10
56,23,333,1723,4.303303303,37,71,27,14,8,12,22,0,11,1,0,2,1,0,12.61335975,0.314486116,85.18280846,0.882187339,7.199666784,0.372372372,169,0.000166552,9
57,14,228,1078,3.881578947,35,35,11,9,8,33,14,0,7,0,0,0,2,9,17.59220758,0.355299741,88.26552632,1.853987013,6.660411779,0.429824561,131,0.00013163,7
58,22,491,2471,4.134419552,69,91,30,17,16,54,21,1,8,0,0,0,2,5,25.99904643,0.36643967,82.52420431,4.689090909,6.705172246,0.32790224,277,0.00021625,8
59,6,80,411,4.3,10,21,7,3,1,6,6,0,5,0,0,1,1,0,7.104508577,0.35465005,78.03416667,0.155550459,6.863708333,0.5375,48,5.78E-05,4
60,23,337,1681,4.097922849,58,70,16,13,22,30,22,0,9,1,0,0,1,1,11.65194726,0.244720742,85.77372597,0.983554322,6.565413998,0.376854599,209,0.000170582,8
61,14,313,1500,3.89456869,61,57,24,16,6,43,14,0,7,0,0,1,3,6,16.423392,0.367479295,87.64984824,4.700658263,5.754359973,0.335463259,207,0.000141032,8
62,17,326,1594,4.003067485,47,52,19,11,8,48,17,0,11,0,0,0,1,1,14.41244026,0.309141457,89.01689462,3.254573956,5.895413677,0.337423313,185,0.000147748,8
63,6,234,1115,3.841880342,36,47,4,18,11,28,6,0,0,0,0,0,2,2,25.30479401,0.439223379,69.99615385,12.15968401,6.785515385,0.337606838,144,0.00010611,7
64,24,472,2314,4.031779661,67,73,21,17,28,61,24,0,15,0,0,1,1,4,21.3396189,0.28963691,87.57587571,3.465929603,6.318089548,0.322033898,267,0.000204161,9
65,25,415,2114,4.202409639,66,73,19,22,35,44,22,0,17,3,0,3,2,2,11.56669207,0.306134969,80.10792771,1.903743228,7.275426265,0.371084337,259,0.000206847,9
66,20,329,1628,4.060790274,45,76,20,8,18,36,18,0,13,2,0,0,3,2,16.87379606,0.361891598,87.28110714,1.9155,6.036219392,0.361702128,203,0.000159837,8
67,33,458,2219,4,63,95,23,20,28,46,32,0,20,1,0,1,1,3,19.13769013,0.332658648,90.78471153,0.724216074,6.462398796,0.38209607,275,0.000235054,9
68,18,281,1256,3.615658363,38,48,13,9,10,31,18,0,15,0,0,3,1,4,14.68629253,0.285650611,98.2608966,1.848917749,5.871807552,0.412811388,149,0.000155807,7
69,28,510,2534,4.152941176,47,99,30,10,20,47,25,0,24,3,0,2,5,1,16.87897473,0.27647081,91.80397059,2.856634757,6.831026611,0.341176471,252,0.000233711,12
70,21,488,2401,4.006147541,72,98,15,14,20,51,20,0,10,1,0,2,1,4,21.16760088,0.362944305,85.29956284,5.09471555,6.245154606,0.305327869,270,0.000200132,10
71,25,611,3221,4.417348609,78,119,47,30,32,47,25,0,41,0,0,0,0,0,29.0695709,0.473054975,70.01301538,5.942390111,7.536383574,0.301145663,352,0.000247142,10
72,21,468,2163,3.829059829,44,77,18,12,28,39,20,0,9,0,0,5,0,2,36.63689296,0.403181851,97.98807692,4.845929919,6.091444078,0.30982906,218,0.000194759,8
73,29,360,1659,3.786111111,60,75,15,9,24,36,24,2,29,3,0,1,2,1,5.292827837,0.257702887,101.41,0.476499345,5.480335249,0.333333333,219,0.00016118,7
74,21,391,2050,4.355498721,53,90,43,15,14,12,21,0,21,0,0,0,3,1,25.45427433,0.358911574,73.91057971,2.951981567,7.225324455,0.383631714,227,0.000201475,8
75,19,374,1795,4.016042781,46,80,14,12,19,29,16,0,27,3,0,1,2,1,22.96530928,0.368662477,90.71916268,3.517684211,6.048291388,0.307486631,200,0.000154464,8
76,47,614,3016,4.061889251,86,128,34,13,40,64,45,0,18,2,0,4,4,1,12.76845543,0.354849309,93.95664599,0.430385215,5.956045762,0.301302932,365,0.000248486,10
77,33,520,2372,3.817307692,76,98,20,15,33,48,23,13,11,0,0,0,1,2,16.45278249,0.284141898,101.3602914,2.066363636,5.81488345,0.263461538,290,0.000184014,10
78,18,425,2021,3.861176471,40,88,22,18,12,51,18,0,15,0,0,0,2,1,26.17359335,0.368539572,85.52995752,5.260623722,6.219422876,0.32,231,0.00018267,10
79,21,470,2340,4.112765957,51,87,35,21,28,32,20,1,21,0,0,8,2,5,18.44465514,0.288490355,86.01833333,4.70757536,7.064701621,0.338297872,254,0.000213563,8
80,16,411,1924,3.800486618,62,70,27,16,9,56,16,0,23,0,0,1,1,1,17.55657677,0.328368872,79.90087363,6.25130102,6.524176642,0.311435523,240,0.000171925,8
81,23,319,1657,4.319749216,43,70,12,7,14,43,22,0,9,1,0,3,2,1,16.31859427,0.450945973,79.7805888,0.469628496,6.353866171,0.36677116,189,0.00015715,8
82,9,220,1084,3.986363636,32,32,13,14,12,29,9,0,1,0,0,1,1,5,19.21657148,0.271902949,74.35116162,5.814761905,7.002126263,0.431818182,132,0.000127601,7
83,11,221,1002,3.624434389,33,34,5,7,7,49,11,0,0,0,0,0,0,5,14.80099111,0.34559983,96.10064582,3.827272727,5.633280584,0.316742081,135,9.40E-05,6
84,31,606,3012,4.075907591,89,108,46,18,32,81,28,0,14,3,0,1,1,3,38.92707936,0.41274482,80.05675343,3.382022235,6.065241914,0.283828383,374,0.000231024,10
85,28,465,2513,4.507526882,54,137,41,12,17,18,27,0,8,1,0,0,3,2,15.41679547,0.431384265,72.6303629,1.900905316,6.939074501,0.365591398,279,0.000228338,8
86,39,519,2353,3.743737958,58,84,29,24,37,60,34,3,28,2,0,1,0,3,21.39355649,0.273925632,103.02249,1.004512635,6.182842849,0.333333333,291,0.000232368,10
87,19,477,2236,3.767295597,62,74,27,19,38,58,14,5,8,0,0,1,2,3,31.4318292,0.336642534,81.6776862,5.961091965,6.371343694,0.329140461,277,0.000210877,9
88,29,267,1266,3.876404494,36,54,10,1,7,35,29,0,6,0,0,0,3,0,8.656875345,0.390549213,100.5326966,-1.178749155,5.275933605,0.280898876,143,0.000100737,6
89,9,264,1239,3.829545455,33,50,18,13,8,24,9,0,12,0,0,1,2,1,33.18321063,0.327493995,76.75939394,7.926048988,7.005372727,0.375,146,0.000132973,7
90,15,256,1279,4.09375,36,53,12,11,22,28,15,0,4,0,0,1,1,7,19.69366873,0.261186838,87.06702083,2.214516129,6.456756667,0.3671875,162,0.000126258,8
91,51,795,3508,3.594968553,105,126,38,19,24,105,46,1,41,4,0,6,2,5,31.82780062,0.29616043,101.8370921,2.012746034,5.70068276,0.246540881,414,0.00026326,11
92,22,609,3220,4.417077176,62,154,38,20,25,31,22,0,23,0,2,2,2,0,48.59924925,0.339204848,67.74386588,7.5680834,7.965281729,0.382594417,330,0.000312958,11
93,25,361,1684,3.800554017,60,61,19,13,17,44,22,1,11,2,0,0,0,2,10.38754287,0.357334048,95.62659945,1.176520388,5.621172753,0.351800554,214,0.000170582,8
94,36,546,2473,3.69047619,78,73,25,13,30,78,27,6,13,3,0,0,1,2,17.3696905,0.218691945,103.2770971,1.897189514,5.89257619,0.318681319,297,0.000233711,10
95,15,262,1278,4.003816794,32,55,15,7,15,24,15,0,10,0,0,0,1,3,16.25757911,0.335597426,89.00709669,2.442903226,6.792999338,0.389312977,148,0.000137003,7
96,21,339,1680,4.091445428,39,76,22,8,12,21,21,0,9,0,0,1,1,0,17.31807216,0.228303552,91.12610619,1.85218234,6.859250611,0.427728614,178,0.000194759,8
97,34,484,2362,4.033057851,63,96,26,14,32,32,34,0,25,0,0,2,2,0,17.88837939,0.274739087,95.2010525,1.059589505,6.952487944,0.367768595,263,0.000239083,11
98,20,423,1919,3.737588652,57,67,15,14,13,39,18,0,14,2,0,1,4,1,11.75713886,0.326608211,106.76775,4.774263359,5.954712577,0.364066194,205,0.000206847,8
99,17,271,1186,3.516605166,42,44,21,4,5,38,9,4,4,4,0,1,1,1,7.711772248,0.309251577,105.4303516,2.38649429,5.767293054,0.365313653,154,0.000132973,7
100,40,544,2631,3.987132353,84,99,25,25,30,48,34,0,18,6,0,1,3,4,36.53287291,0.225212052,93.65710294,0.685946401,6.429938676,0.34375,311,0.000251172,10
101,26,362,1784,4.019337017,49,62,19,8,14,43,26,0,4,0,0,0,1,0,18.73677726,0.350741148,88.70583935,0.684101124,6.028217212,0.325966851,195,0.000158494,8
102,18,468,2136,3.730769231,61,69,25,23,22,51,14,0,22,4,1,1,2,1,19.31037194,0.326505929,86.98730769,6.293291425,6.444369231,0.320512821,250,0.000201475,9
103,21,446,2251,4.150224215,82,102,15,16,21,46,18,0,19,3,0,0,0,4,23.51767186,0.354652405,76.7778849,4.233556444,6.495492483,0.30941704,282,0.000185357,10
104,34,622,2848,3.720257235,97,102,22,34,33,74,32,0,18,2,0,0,3,7,26.62904413,0.343130022,99.17804615,3.128731477,5.711637431,0.279742765,362,0.000233711,9
105,30,422,2111,4.154028436,55,83,24,12,19,40,30,0,12,0,0,0,2,1,17.93554854,0.293271333,82.29666983,0.613818182,7.364988657,0.436018957,233,0.000247142,11
106,52,724,3664,4.190607735,103,154,42,19,32,91,48,0,25,4,0,1,4,1,26.09959306,0.319466561,85.43401615,0.601318083,6.355358096,0.291436464,441,0.000283408,10
107,21,426,1974,3.781690141,58,89,19,12,24,48,19,0,21,2,0,0,2,4,14.43986368,0.293141574,91.91401408,3.814165414,6.162366264,0.352112676,250,0.000201475,8
108,24,393,1810,3.72264631,54,72,21,20,25,53,24,0,11,0,0,0,1,7,15.29279946,0.286109418,96.14261927,2.123149314,5.573687277,0.302798982,245,0.000159837,8
109,13,265,1271,3.909433962,30,65,23,16,16,19,11,1,13,0,0,0,6,2,10.70781675,0.384937763,82.3898984,3.781538462,6.315954282,0.411320755,169,0.000146405,6
110,36,652,3216,4.09202454,82,122,45,18,34,39,25,5,31,6,0,1,0,0,46.91803053,0.293645233,88.67093388,2.745514738,6.641758964,0.32208589,339,0.000282065,11
111,29,464,2260,3.993534483,71,81,28,18,19,51,27,2,7,0,0,3,2,3,27.45246297,0.265817583,91.4087931,1.790567951,6.608031034,0.379310345,268,0.000236397,9
112,28,374,1829,4.016042781,51,66,19,15,26,39,28,0,8,0,0,1,6,1,9.692568553,0.281807154,96.46252674,0.682643525,6.241099847,0.334224599,216,0.000167896,8
113,24,458,2322,4.181222707,63,89,22,21,24,54,24,0,18,0,0,1,0,3,22.81474182,0.31436938,79.22174854,3.155025597,6.651592285,0.334061135,273,0.000205504,8
114,29,595,2558,3.448739496,84,76,27,25,33,85,24,3,9,2,0,2,2,14,38.55931522,0.263921767,102.4052941,4.258062397,5.689129962,0.258823529,330,0.000206847,9
115,4,60,319,4.45,12,13,3,5,5,4,4,0,3,0,0,0,0,0,7.908883083,0.360435814,73.17,1.028571429,8.064833333,0.7,42,5.64E-05,4
116,25,369,1755,3.894308943,52,62,25,15,26,47,24,0,17,1,0,0,1,3,10.7516806,0.339214474,94.18530732,1.276726761,5.909083805,0.349593496,227,0.000173268,8
117,28,544,2631,4.051470588,52,104,30,20,20,37,27,0,30,0,0,1,1,1,10.34592722,0.370519817,96.44992647,3.540991791,6.631958613,0.329044118,263,0.000240427,12
118,37,596,2581,3.521812081,92,83,34,17,23,83,31,0,38,6,0,1,1,2,28.44651753,0.192843258,105.0335924,2.437797432,6.078046055,0.338926174,332,0.000271319,10
119,20,409,1936,3.82396088,63,74,19,22,23,72,17,2,5,1,0,1,3,5,33.432523,0.347721964,87.82641626,3.832921053,6.040648851,0.317848411,273,0.000174611,8
120,17,428,1897,3.570093458,49,62,24,20,21,56,14,6,11,1,0,2,4,5,19.51665556,0.328726172,101.6224711,6.187304043,6.102706212,0.273364486,232,0.00015715,8
121,29,596,2981,4.112416107,72,129,36,30,32,24,26,1,17,2,0,0,0,1,32.67490225,0.382081717,83.77365772,3.860536398,6.351435987,0.30033557,323,0.000240427,9
122,29,459,2267,4.045751634,62,87,21,15,21,61,29,0,11,0,0,0,0,3,14.7039746,0.361644685,82.39352941,1.528810697,6.347997078,0.339869281,267,0.000209534,10
123,9,288,1356,3.763888889,45,35,13,16,13,49,9,0,1,0,0,0,2,0,38.56622706,0.49789077,70.955,9.317878788,6.758838889,0.309027778,171,0.000119542,7
124,1,178,886,4,35,32,6,9,7,35,0,0,0,0,0,0,4,1,60,0,-87.90241573,86.76166667,14.77170449,0.426966292,124,0.000102081,5
125,10,294,1500,4.153061224,45,58,20,13,13,46,10,0,1,0,0,0,1,6,30.80460911,0.456711024,68.22257143,8.329777778,7.189331837,0.414965986,195,0.000163866,8
126,23,437,2231,4.185354691,69,91,25,32,18,58,22,1,5,1,0,0,4,2,27.34997361,0.236925259,76.04061785,3.129387077,6.819128833,0.361556064,293,0.00021222,9
127,30,455,2266,4.09010989,58,81,22,32,24,60,30,0,13,0,0,0,0,3,17.66499916,0.227549776,86.75995421,1.265412078,6.679184249,0.402197802,277,0.000245799,9
128,26,472,2159,3.694915254,73,75,12,26,31,63,25,1,16,0,0,2,1,4,25.95959864,0.273726076,95.74316819,2.937920696,5.507079074,0.311440678,280,0.000197445,10
129,39,657,3438,4.316590563,79,142,59,30,25,47,39,0,10,0,0,0,1,2,18.07995066,0.383711964,75.64848261,2.020112867,6.947518241,0.295281583,382,0.000260574,10
130,24,502,2421,3.992031873,59,97,31,11,25,48,23,0,28,1,0,1,1,0,19.06002732,0.316806495,93.92649568,4.138970588,6.43540093,0.356573705,271,0.000240427,10
131,25,509,2614,4.31827112,58,109,34,17,25,36,18,7,20,0,0,1,0,0,14.11831883,0.338771462,82.62185933,3.769570465,6.910933603,0.349705305,279,0.000239083,11
132,44,621,2733,3.586151369,82,91,47,15,27,81,42,1,25,1,0,0,1,2,25.68355788,0.289491951,109.8169055,1.862385428,5.65872638,0.304347826,341,0.000253858,10
133,24,446,2210,4.060538117,66,93,27,11,25,60,24,0,12,0,0,0,3,2,24.39123611,0.338624567,79.28278214,2.905892234,6.363816293,0.32735426,282,0.000196102,10
134,11,292,1448,4.068493151,48,58,11,16,17,48,11,0,11,0,0,2,3,3,10.66445728,0.337129533,81.38451432,6.598663102,6.899866874,0.390410959,198,0.000153121,7
135,41,653,2897,3.617151608,96,118,24,19,34,96,39,0,27,2,0,2,7,1,32.93140396,0.215958193,105.2919329,2.371101077,5.78059018,0.309341501,385,0.000271319,9
136,8,262,1296,4.022900763,32,64,16,9,10,24,7,1,5,0,0,2,1,2,15.40509056,0.342327625,71.23420802,9.616431388,7.189449618,0.389312977,155,0.000137003,7
137,24,447,2313,4.284116331,57,106,30,14,17,46,24,0,11,0,0,1,2,0,25.19573105,0.381760597,80.6192156,2.926395503,6.785736242,0.36689038,270,0.000220279,10
138,12,201,945,3.810945274,26,38,5,6,12,36,12,0,4,0,0,0,0,1,20.66612802,0.315951914,87.97703358,2.075826446,6.509787562,0.437810945,123,0.000118199,7
139,30,405,2039,4.148148148,60,83,24,16,23,43,30,0,9,0,0,0,0,2,10.66264411,0.366085798,87.8525,0.444142857,6.645359259,0.358024691,249,0.000194759,9
140,33,664,3165,3.905120482,91,109,30,35,34,85,28,4,25,1,0,3,2,6,26.32821964,0.277839571,91.2369697,3.727070707,6.53692176,0.310240964,384,0.000276692,10
141,24,460,2310,4.213043478,49,75,28,17,30,46,23,0,34,1,0,1,3,0,19.43296433,0.339942485,78.32039855,3.199706998,7.127297101,0.354347826,245,0.000218936,10
142,19,345,1586,3.72173913,47,64,18,15,18,38,18,0,11,0,0,1,5,6,17.67757201,0.244810641,97.42908467,2.99830898,5.864406941,0.35942029,200,0.000166552,7
143,31,481,2338,3.945945946,69,103,24,10,20,49,30,1,8,0,0,4,3,5,16.9172392,0.443852872,84.50068205,1.399877568,6.080299584,0.282744283,275,0.00018267,9
144,24,413,2279,4.644067797,53,92,25,16,15,26,18,0,22,6,0,2,0,0,22.33186239,0.306152433,69.94529711,2.242926672,8.160348103,0.368038741,227,0.000204161,10
145,3,200,969,3.925,28,27,11,18,7,23,3,0,0,0,0,7,3,3,33.30388297,0.178778589,52.87633333,22.49862745,8.206366667,0.35,114,9.40E-05,6
146,39,670,3420,4.217910448,81,143,45,23,31,50,38,0,16,1,0,3,3,2,46.59031656,0.298303604,84.97364141,2.239854897,7.080990624,0.365671642,373,0.000329075,12
147,17,332,1647,4.042168675,47,72,21,16,26,42,17,0,6,0,0,1,2,1,28.56852433,0.405246228,81.00782778,3.370837104,6.174646775,0.340361446,224,0.000151778,9
148,20,473,2326,3.997885835,55,96,37,13,8,67,20,0,8,0,0,3,3,1,22.58498034,0.424518883,77.66153964,5.368176871,6.244994545,0.243128964,276,0.000154464,8
149,24,353,1644,3.801699717,39,86,12,10,15,37,24,0,12,0,0,0,2,3,11.73674546,0.290428817,101.3145403,1.57207672,5.93161407,0.328611898,199,0.000155807,8
150,7,258,1266,3.96124031,47,49,10,15,18,30,7,0,3,0,0,0,1,3,34.08225069,0.37830016,67.44593023,11.52621038,6.994653045,0.457364341,169,0.000158494,8
151,11,192,1029,4.46875,26,45,18,2,5,13,11,0,5,0,0,0,1,0,13.81473084,0.403011024,80.28426136,2.339742363,6.311516288,0.348958333,109,9.00E-05,6
