,Sent_Count,Word_Count,Char_Count,Avg_Word_Count,Verb_Count,Noun_Count,Adj_Count,Conj_Count,Adverb_Count,pNoun_Count,Count_Fullstops,Count_Exclamation,Count_Comma,Count_Questionmark,Count_Hyphens,Capitalization_Errors,Grammar_Error_Count,,Punctuation_Errors,,Grammar_Error_List,Number_of_Connectors,Connectivity_Index
54,11,260,1363,4.334615385,29,52,14,8,23,32,9,3,7,0,0,1,4,,1,,"['MAN_COMPOUNDS', 'MD_BASEFORM', 'IF_THERE', 'MICROSOFT_PRODUCTS']",42,23.50186453
55,22,505,2877,4.77029703,69,125,29,21,22,34,22,0,11,0,0,0,0,,0,,[],63,41.78632287
56,23,333,1723,4.303303303,37,71,27,14,8,12,22,0,11,1,0,2,1,,0,,['AGREEMENT_SENT_START'],31,12.61335975
57,14,228,1078,3.881578947,35,35,11,9,8,33,14,0,7,0,0,0,2,,9,,"['THE_SENT_END', 'USE_TO_VERB']",34,17.59220758
58,22,491,2471,4.134419552,69,91,30,17,16,54,21,1,8,0,0,0,2,,5,,"['HE_VERB_AGR', 'HE_VERB_AGR']",65,25.99904643
59,6,80,411,4.3,10,21,7,3,1,6,6,0,5,0,0,1,1,,0,,['NON3PRS_VERB'],7,7.104508577
60,23,337,1681,4.097922849,58,70,16,13,22,30,22,0,9,1,0,0,1,,1,,['THIS_IS_HAVE'],40,11.65194726
61,14,313,1500,3.89456869,61,57,24,16,6,43,14,0,7,0,0,1,3,,6,,"['RELATIVE_CLAUSE_AGREEMENT', 'A_INFINITIVE', 'PRP_VBG']",35,16.423392
62,17,326,1594,4.003067485,47,52,19,11,8,48,17,0,11,0,0,0,1,,1,,['A_NNS'],34,14.41244026
63,6,234,1115,3.841880342,36,47,4,18,11,28,6,0,0,0,0,0,2,,2,,"['NEWS_COMPOUNDS', 'MD_BASEFORM']",38,25.30479401
64,24,472,2314,4.031779661,67,73,21,17,28,61,24,0,15,0,0,1,1,,4,,['THE_SUPERLATIVE'],57,21.3396189
65,25,415,2114,4.202409639,66,73,19,22,35,44,22,0,17,3,0,3,2,,2,,"['GOOGLE_PRODUCTS', 'THE_THEY']",60,11.56669207
66,20,329,1628,4.060790274,45,76,20,8,18,36,18,0,13,2,0,0,3,,2,,"['TWITTER', 'MD_BASEFORM', 'MISSING_TO_BEFORE_A_VERB']",41,16.87379606
67,33,458,2219,4,63,95,23,20,28,46,32,0,20,1,0,1,1,,3,,['HAVE_TWITTER'],59,19.13769013
68,18,281,1256,3.615658363,38,48,13,9,10,31,18,0,15,0,0,3,1,,4,,['SUPPOSE_TO'],33,14.68629253
69,28,510,2534,4.152941176,47,99,30,10,20,47,25,0,24,3,0,2,5,,1,,"['COUD_T', 'A_NNS', 'MANY_NN', 'MANY_NN', 'COMP_THAN']",44,16.87897473
70,21,488,2401,4.006147541,72,98,15,14,20,51,20,0,10,1,0,2,1,,4,,['USE_TO_VERB'],72,21.16760088
71,25,611,3221,4.417348609,78,119,47,30,32,47,25,0,41,0,0,0,0,,0,,[],65,29.0695709
72,21,468,2163,3.829059829,44,77,18,12,28,39,20,0,9,0,0,5,0,,2,,[],39,36.63689296
73,29,360,1659,3.786111111,60,75,15,9,24,36,24,2,29,3,0,1,2,,1,,"['AGREEMENT_SENT_START', 'MD_BASEFORM']",24,5.292827837
74,21,391,2050,4.355498721,53,90,43,15,14,12,21,0,21,0,0,0,3,,1,,"['CA_FIRST_HAND', 'ON_COMPOUNDS', 'NONE_THE_LESS']",48,25.45427433
75,19,374,1795,4.016042781,46,80,14,12,19,29,16,0,27,3,0,1,2,,1,,"['ON_COMPOUNDS', 'MD_BASEFORM']",38,22.96530928
76,47,614,3016,4.061889251,86,128,34,13,40,64,45,0,18,2,0,4,4,,1,,"['DONT_WHAT', 'HAVE_TWITTER', 'AGREEMENT_SENT_START', 'HAVE_RB_HAVE']",58,12.76845543
77,33,520,2372,3.817307692,76,98,20,15,33,48,23,13,11,0,0,0,1,,2,,['HE_VERB_AGR'],61,16.45278249
78,18,425,2021,3.861176471,40,88,22,18,12,51,18,0,15,0,0,0,2,,1,,"['ALLOW_TO', 'A_NNS']",51,26.17359335
79,21,470,2340,4.112765957,51,87,35,21,28,32,20,1,21,0,0,8,2,,5,,"['GAMEBOY', 'ITS_TO_IT_S']",60,18.44465514
80,16,411,1924,3.800486618,62,70,27,16,9,56,16,0,23,0,0,1,1,,1,,['BEEN_PART_AGREEMENT'],44,17.55657677
81,23,319,1657,4.319749216,43,70,12,7,14,43,22,0,9,1,0,3,2,,1,,"['A_NNS', 'HAND_COMPOUNDS']",29,16.31859427
82,9,220,1084,3.986363636,32,32,13,14,12,29,9,0,1,0,0,1,1,,5,,['ITS_TO_IT_S'],32,19.21657148
83,11,221,1002,3.624434389,33,34,5,7,7,49,11,0,0,0,0,0,0,,5,,[],31,14.80099111
84,31,606,3012,4.075907591,89,108,46,18,32,81,28,0,14,3,0,1,1,,3,,['MISSING_TO_BEFORE_A_VERB'],72,38.92707936
85,28,465,2513,4.507526882,54,137,41,12,17,18,27,0,8,1,0,0,3,,2,,"['ARTICLE_ADJECTIVE_OF', 'LIFE_COMPOUNDS', 'DID_BASEFORM']",40,15.41679547
86,39,519,2353,3.743737958,58,84,29,24,37,60,34,3,28,2,0,1,0,,3,,[],48,21.39355649
87,19,477,2236,3.767295597,62,74,27,19,38,58,14,5,8,0,0,1,2,,3,,"['THERE_IS_A_LOT_OF', 'THERE_S_MANY']",65,31.4318292
88,29,267,1266,3.876404494,36,54,10,1,7,35,29,0,6,0,0,0,3,,0,,"['PRP_VBG', 'IS_VBZ', 'PRP_HAVE_VB']",13,8.656875345
89,9,264,1239,3.829545455,33,50,18,13,8,24,9,0,12,0,0,1,2,,1,,"['PEOPLE_VBZ', 'MISSING_TO_BETWEEN_BE_AND_VB']",25,33.18321063
90,15,256,1279,4.09375,36,53,12,11,22,28,15,0,4,0,0,1,1,,7,,['GOOGLE_PRODUCTS'],39,19.69366873
91,51,795,3508,3.594968553,105,126,38,19,24,105,46,1,41,4,0,6,2,,5,,"['MICROSOFT_PRODUCTS', 'AUXILIARY_DO_WITH_INCORRECT_VERB_FORM']",87,31.82780062
92,22,609,3220,4.417077176,62,154,38,20,25,31,22,0,23,0,2,2,2,,0,,"['ON_SKYPE', 'TWITTER']",69,48.59924925
93,25,361,1684,3.800554017,60,61,19,13,17,44,22,1,11,2,0,0,0,,2,,[],35,10.38754287
94,36,546,2473,3.69047619,78,73,25,13,30,78,27,6,13,3,0,0,1,,2,,['LEARN_NNNNS_ON_DO'],53,17.3696905
95,15,262,1278,4.003816794,32,55,15,7,15,24,15,0,10,0,0,0,1,,3,,['AGREEMENT_SENT_START'],27,16.25757911
96,21,339,1680,4.091445428,39,76,22,8,12,21,21,0,9,0,0,1,1,,0,,['AGREEMENT_SENT_START'],36,17.31807216
97,34,484,2362,4.033057851,63,96,26,14,32,32,34,0,25,0,0,2,2,,0,,"['CYBER_COMPOUNDS', 'NODT_DOZEN']",56,17.88837939
98,20,423,1919,3.737588652,57,67,15,14,13,39,18,0,14,2,0,1,4,,1,,"['PRP_REPITION', 'PRP_VB', 'CAUSE_BECAUSE', 'PRP_VB']",40,11.75713886
99,17,271,1186,3.516605166,42,44,21,4,5,38,9,4,4,4,0,1,1,,1,,['BEEN_PART_AGREEMENT'],13,7.711772248
100,40,544,2631,3.987132353,84,99,25,25,30,48,34,0,18,6,0,1,3,,4,,"['MD_BASEFORM', 'MD_BASEFORM', 'BALL_COMPOUNDS']",72,36.53287291
101,26,362,1784,4.019337017,49,62,19,8,14,43,26,0,4,0,0,0,1,,0,,['FEWER_LESS'],44,18.73677726
102,18,468,2136,3.730769231,61,69,25,23,22,51,14,0,22,4,1,1,2,,1,,"['WENT', 'THE_THEY']",58,19.31037194
103,21,446,2251,4.150224215,82,102,15,16,21,46,18,0,19,3,0,0,0,,4,,[],53,23.51767186
104,34,622,2848,3.720257235,97,102,22,34,33,74,32,0,18,2,0,0,3,,7,,"['HE_VERB_AGR', 'MUST_BE_DO', 'BEEN_PART_AGREEMENT']",82,26.62904413
105,30,422,2111,4.154028436,55,83,24,12,19,40,30,0,12,0,0,0,2,,1,,"['PRP_REPITION', 'NODT_DOZEN']",41,17.93554854
106,52,724,3664,4.190607735,103,154,42,19,32,91,48,0,25,4,0,1,4,,1,,"['MANY_NN', 'NEWS_COMPOUNDS', 'NEWS_COMPOUNDS', 'MANY_NN']",64,26.09959306
107,21,426,1974,3.781690141,58,89,19,12,24,48,19,0,21,2,0,0,2,,4,,"['NEWS_COMPOUNDS', 'HE_VERB_AGR']",55,14.43986368
108,24,393,1810,3.72264631,54,72,21,20,25,53,24,0,11,0,0,0,1,,7,,['LOTS_OF_NN'],52,15.29279946
109,13,265,1271,3.909433962,30,65,23,16,16,19,11,1,13,0,0,0,6,,2,,"['NEWS_COMPOUNDS', 'NEWS_COMPOUNDS', 'NEWS_COMPOUNDS', 'NEWS_COMPOUNDS', 'I_AM_VB', 'ON_COMPOUNDS']",32,10.70781675
110,36,652,3216,4.09202454,82,122,45,18,34,39,25,5,31,6,0,1,0,,0,,[],96,46.91803053
111,29,464,2260,3.993534483,71,81,28,18,19,51,27,2,7,0,0,3,2,,3,,"['HOME_COMPOUNDS', 'CYBER_COMPOUNDS']",62,27.45246297
112,28,374,1829,4.016042781,51,66,19,15,26,39,28,0,8,0,0,1,6,,1,,"['DOOR_COMPOUNDS', 'DOOR_COMPOUNDS', 'OVER_COMPOUNDS', 'DOOR_COMPOUNDS', 'ALLOW_TO_DO', 'THIS_NNS']",43,9.692568553
113,24,458,2322,4.181222707,63,89,22,21,24,54,24,0,18,0,0,1,0,,3,,[],62,22.81474182
114,29,595,2558,3.448739496,84,76,27,25,33,85,24,3,9,2,0,2,2,,14,,"['PRP_MD_NN', 'NOUN_VERB_CONFUSION']",78,38.55931522
115,4,60,319,4.45,12,13,3,5,5,4,4,0,3,0,0,0,0,,0,,[],11,7.908883083
116,25,369,1755,3.894308943,52,62,25,15,26,47,24,0,17,1,0,0,1,,3,,['EYE_COMPOUNDS'],46,10.7516806
117,28,544,2631,4.051470588,52,104,30,20,20,37,27,0,30,0,0,1,1,,1,,['WIDE_COMPOUNDS'],54,10.34592722
118,37,596,2581,3.521812081,92,83,34,17,23,83,31,0,38,6,0,1,1,,2,,['NON3PRS_VERB'],71,28.44651753
119,20,409,1936,3.82396088,63,74,19,22,23,72,17,2,5,1,0,1,3,,5,,"['CAUSE_BECAUSE', 'CAUSE_BECAUSE', 'MUCH_COUNTABLE']",68,33.432523
120,17,428,1897,3.570093458,49,62,24,20,21,56,14,6,11,1,0,2,4,,5,,"['THANK_FULL', 'THANK_FULL', 'DT_DT', 'MD_BASEFORM']",43,19.51665556
121,29,596,2981,4.112416107,72,129,36,30,32,24,26,1,17,2,0,0,0,,1,,[],72,32.67490225
122,29,459,2267,4.045751634,62,87,21,15,21,61,29,0,11,0,0,0,0,,3,,[],48,14.7039746
123,9,288,1356,3.763888889,45,35,13,16,13,49,9,0,1,0,0,0,2,,0,,"['A_UNCOUNTABLE', 'DOUBLE_NEGATIVE']",56,38.56622706
124,1,178,886,4,35,32,6,9,7,35,0,0,0,0,0,0,4,,1,,"['CAUSE_BECAUSE', 'CAUSE_BECAUSE', 'A_NNS', 'CAUSE_BECAUSE']",23,60
125,10,294,1500,4.153061224,45,58,20,13,13,46,10,0,1,0,0,0,1,,6,,['DOUBLE_NEGATIVE'],34,30.80460911
126,23,437,2231,4.185354691,69,91,25,32,18,58,22,1,5,1,0,0,4,,2,,"['A_INFINITIVE', 'A_NNS', 'A_TO', 'AND_END']",75,27.34997361
127,30,455,2266,4.09010989,58,81,22,32,24,60,30,0,13,0,0,0,0,,3,,[],62,17.66499916
128,26,472,2159,3.694915254,73,75,12,26,31,63,25,1,16,0,0,2,1,,4,,['A_NNS'],66,25.95959864
129,39,657,3438,4.316590563,79,142,59,30,25,47,39,0,10,0,0,0,1,,2,,['MD_BASEFORM'],78,18.07995066
130,24,502,2421,3.992031873,59,97,31,11,25,48,23,0,28,1,0,1,1,,0,,['HE_VERB_AGR'],47,19.06002732
131,25,509,2614,4.31827112,58,109,34,17,25,36,18,7,20,0,0,1,0,,0,,[],49,14.11831883
132,44,621,2733,3.586151369,82,91,47,15,27,81,42,1,25,1,0,0,1,,2,,['ITS_TO_IT_S'],74,25.68355788
133,24,446,2210,4.060538117,66,93,27,11,25,60,24,0,12,0,0,0,3,,2,,"['THE_ARE', 'DT_PRP', 'BALL_COMPOUNDS']",58,24.39123611
134,11,292,1448,4.068493151,48,58,11,16,17,48,11,0,11,0,0,2,3,,3,,"['TWITTER', 'ITS_TO_IT_S', 'PRP_VBG']",30,10.66445728
135,41,653,2897,3.617151608,96,118,24,19,34,96,39,0,27,2,0,2,7,,1,,"['AGREEMENT_SENT_START', 'FEWER_LESS', 'NON3PRS_VERB', 'IT_VBZ', 'BEEN_PART_AGREEMENT', 'PRP_JJ', 'HE_VERB_AGR']",73,32.93140396
136,8,262,1296,4.022900763,32,64,16,9,10,24,7,1,5,0,0,2,1,,2,,['NEWS_COMPOUNDS'],30,15.40509056
137,24,447,2313,4.284116331,57,106,30,14,17,46,24,0,11,0,0,1,2,,0,,"['BEEN_PART_AGREEMENT', 'AGREEMENT_SENT_START']",51,25.19573105
138,12,201,945,3.810945274,26,38,5,6,12,36,12,0,4,0,0,0,0,,1,,[],25,20.66612802
139,30,405,2039,4.148148148,60,83,24,16,23,43,30,0,9,0,0,0,0,,2,,[],62,10.66264411
140,33,664,3165,3.905120482,91,109,30,35,34,85,28,4,25,1,0,3,2,,6,,"['HE_VERB_AGR', 'HE_VERB_AGR']",91,26.32821964
141,24,460,2310,4.213043478,49,75,28,17,30,46,23,0,34,1,0,1,3,,0,,"['THE_THEY', 'DT_PRP', 'A_INFINITIVE']",51,19.43296433
142,19,345,1586,3.72173913,47,64,18,15,18,38,18,0,11,0,0,1,5,,6,,"['A_NNS', 'THERE_RE_MANY', 'DOUBLE_NEGATIVE', 'IT_VBZ', 'ADVERB_VERB_ADVERB_REPETITION']",47,17.67757201
143,31,481,2338,3.945945946,69,103,24,10,20,49,30,1,8,0,0,4,3,,5,,"['SINGULAR_AGREEMENT_SENT_START', 'THERE_S_MANY', 'THERE_S_MANY']",64,16.9172392
144,24,413,2279,4.644067797,53,92,25,16,15,26,18,0,22,6,0,2,0,,0,,[],55,22.33186239
145,3,200,969,3.925,28,27,11,18,7,23,3,0,0,0,0,7,3,,3,,"['GOOGLE_PRODUCTS', 'GOOGLE_PRODUCTS', 'ON_SKYPE']",39,33.30388297
146,39,670,3420,4.217910448,81,143,45,23,31,50,38,0,16,1,0,3,3,,2,,"['BEEN_PART_AGREEMENT', 'A_NNS', 'AGREEMENT_SENT_START']",77,46.59031656
147,17,332,1647,4.042168675,47,72,21,16,26,42,17,0,6,0,0,1,2,,1,,"['BELIVE_BELIEVE', 'DID_BASEFORM']",48,28.56852433
148,20,473,2326,3.997885835,55,96,37,13,8,67,20,0,8,0,0,3,3,,1,,"['PLURAL_VERB_AFTER_THIS', 'ON_COMPOUNDS', 'THIS_NNS']",54,22.58498034
149,24,353,1644,3.801699717,39,86,12,10,15,37,24,0,12,0,0,0,2,,3,,"['MD_BASEFORM', 'HOUSE_COMPOUNDS']",27,11.73674546
150,7,258,1266,3.96124031,47,49,10,15,18,30,7,0,3,0,0,0,1,,3,,['COMP_THAN'],42,34.08225069
151,11,192,1029,4.46875,26,45,18,2,5,13,11,0,5,0,0,0,1,,0,,['PHRASE_REPETITION'],18,13.81473084
152,28,558,2622,3.82437276,81,87,29,25,29,74,26,2,18,0,0,0,0,,2,,[],65,36.58017781
153,33,507,2441,3.982248521,67,95,26,18,26,61,32,1,35,0,0,1,2,,1,,"['A_UNCOUNTABLE', 'GO_TO_HYPHEN']",54,14.96348789
154,28,500,2453,4.058,58,101,34,14,30,41,24,2,9,2,0,4,5,,0,,"['MASS_AGREEMENT', 'HE_VERB_AGR', 'AGREEMENT_SENT_START', 'THE_THEY', 'GOOGLE_PRODUCTS']",39,21.27529616
155,29,399,1776,3.62406015,50,60,25,12,26,58,28,1,15,0,0,1,1,,2,,['OVER_COMPOUNDS'],42,17.59984286
156,29,539,2563,3.933209647,56,95,32,13,27,35,29,0,14,0,0,0,3,,3,,"['LIFE_COMPOUNDS', 'TWITTER', 'THE_ARE']",53,21.80654489
157,26,393,2108,4.468193384,48,97,21,16,23,16,26,0,8,0,1,0,0,,3,,[],46,19.11325543
158,37,559,2667,3.953488372,77,108,35,24,25,51,34,1,37,2,0,0,0,,0,,[],59,13.46496658
159,21,322,1530,3.906832298,40,59,22,6,9,38,21,0,16,0,0,0,0,,2,,[],28,10.75143503
160,30,484,2341,3.977272727,69,101,26,11,12,48,28,0,24,2,0,2,0,,0,,[],56,18.62170606
161,29,608,3068,4.172697368,79,129,31,26,31,56,22,6,28,1,0,1,7,,1,,"['WHERE_MD_VB', 'TO_NON_BASE', 'DT_PRP', 'A_INFINITIVE', 'A_NNS', 'HARD_WORKING_COMPOUND', 'PRP_VB']",65,32.28444183
162,22,259,1382,4.444015444,35,71,14,9,9,11,22,0,2,0,0,2,1,,0,,['OVER_COMPOUNDS'],33,8.543507457
163,9,278,1467,4.399280576,37,69,25,8,12,21,8,0,20,1,0,0,2,,1,,"['HE_VERB_AGR', 'HAVE_PART_AGREEMENT']",33,18.66341514
164,30,443,2164,4.047404063,56,79,30,14,16,47,30,0,18,0,0,3,2,,1,,"['HE_VERB_AGR', 'HOUSE_COMPOUNDS']",45,10.94554656
165,33,632,3083,4.034810127,77,106,53,22,33,48,31,1,22,0,0,1,1,,3,,['HAVE_PART_AGREEMENT'],75,23.06976509
166,20,389,1725,3.593830334,45,58,23,16,16,52,18,1,14,1,0,0,2,,1,,"['THE_ARE', 'DT_PRP']",55,22.25491341
167,16,490,2601,4.397959184,61,102,47,16,32,44,13,0,16,3,0,1,2,,1,,"['GOOGLE_PRODUCTS', 'PHRASE_REPETITION']",62,20.45555758
168,10,177,933,4.429378531,22,40,11,4,8,17,9,1,11,0,0,0,1,,0,,['ITS_TO_IT_S'],19,8.365161297
169,21,380,1806,3.873684211,53,64,22,14,17,51,20,1,10,0,0,0,0,,2,,[],45,20.23796672
